dst,duration_s,episode,jitter_ms,loss_pct,port,protocol,src,throughput_mbps,timestamp
h4,8,1,,,5002,tcp,h2,10.3,2026-05-10T21:37:29.133848Z
h5,8,1,0.174,0.81,6001,udp,h1,,2026-05-10T21:37:29.135745Z
h4,8,1,0.115,1.9,6002,udp,h2,,2026-05-10T21:37:29.137019Z
h5,8,1,,,5001,tcp,h1,6.27,2026-05-10T21:37:29.137330Z
h4,8,2,0.108,0.52,6002,udp,h2,,2026-05-10T21:37:37.312228Z
h5,8,2,0.134,0.86,6001,udp,h1,,2026-05-10T21:37:37.514830Z
h4,8,2,,,5002,tcp,h2,5.8,2026-05-10T21:37:38.358811Z
h5,8,2,,,5001,tcp,h1,6.29,2026-05-10T21:37:38.698851Z
h5,8,3,0.099,0.59,6001,udp,h1,,2026-05-10T21:37:46.870155Z
h4,8,3,0.108,0.6,6002,udp,h2,,2026-05-10T21:37:47.285224Z
h4,8,3,,,5002,tcp,h2,5.77,2026-05-10T21:37:48.515631Z
h5,8,3,,,5001,tcp,h1,7.25,2026-05-10T21:37:48.576753Z
h5,8,4,,,5001,tcp,h1,10.1,2026-05-10T21:37:59.448803Z
h5,8,4,0.113,1.8,6001,udp,h1,,2026-05-10T21:37:59.449470Z
h4,8,4,,,5002,tcp,h2,9.46,2026-05-10T21:38:00.347779Z
h4,8,4,0.114,1.3,6002,udp,h2,,2026-05-10T21:38:00.348583Z
h5,8,5,,,5001,tcp,h1,12.7,2026-05-10T21:38:11.980199Z
h4,8,5,,,5002,tcp,h2,13.0,2026-05-10T21:38:12.335796Z
h5,8,5,0.115,2.0,6001,udp,h1,,2026-05-10T21:38:12.336464Z
h4,8,5,0.115,1.9,6002,udp,h2,,2026-05-10T21:38:12.336923Z
h4,8,6,,,5002,tcp,h2,8.64,2026-05-10T21:38:22.941406Z
h4,8,6,0.115,1.5,6002,udp,h2,,2026-05-10T21:38:22.941697Z
h5,8,6,0.109,0.28,6001,udp,h1,,2026-05-10T21:38:22.941828Z
h5,8,6,,,5001,tcp,h1,5.26,2026-05-10T21:38:22.941945Z
h4,8,7,0.1,0.54,6002,udp,h2,,2026-05-10T21:38:31.107468Z
h5,8,7,0.16,0.51,6001,udp,h1,,2026-05-10T21:38:31.473816Z
h4,8,7,,,5002,tcp,h2,6.93,2026-05-10T21:38:32.691038Z
h5,8,7,,,5001,tcp,h1,6.32,2026-05-10T21:38:32.741646Z
h5,8,8,,,5001,tcp,h1,9.05,2026-05-10T21:38:42.728847Z
h5,8,8,0.113,1.2,6001,udp,h1,,2026-05-10T21:38:42.729676Z
h4,8,8,0.11,0.29,6002,udp,h2,,2026-05-10T21:38:42.730160Z
h4,8,8,,,5002,tcp,h2,5.25,2026-05-10T21:38:42.730560Z
h4,8,9,,,5002,tcp,h2,14.3,2026-05-10T21:38:53.976628Z
h5,8,9,,,5001,tcp,h1,12.8,2026-05-10T21:38:54.209234Z
h4,8,9,0.114,1.8,6002,udp,h2,,2026-05-10T21:38:54.209966Z
h5,8,9,0.114,1.6,6001,udp,h1,,2026-05-10T21:38:54.210475Z
h5,8,10,,,5001,tcp,h1,7.39,2026-05-10T21:39:04.099833Z
h5,8,10,0.114,1.0,6001,udp,h1,,2026-05-10T21:39:04.100312Z
h4,8,10,,,5002,tcp,h2,9.3,2026-05-10T21:39:04.914568Z
h4,8,10,0.114,1.3,6002,udp,h2,,2026-05-10T21:39:04.915190Z
h5,8,11,0.104,0.4,6001,udp,h1,,2026-05-10T21:39:13.081588Z
h4,8,11,0.11,0.29,6002,udp,h2,,2026-05-10T21:39:14.290165Z
h4,8,11,,,5002,tcp,h2,4.94,2026-05-10T21:39:14.291001Z
h5,8,11,,,5001,tcp,h1,6.54,2026-05-10T21:39:14.490858Z
h5,8,12,0.106,0.31,6001,udp,h1,,2026-05-10T21:39:22.657971Z
h5,8,12,,,5001,tcp,h1,5.6,2026-05-10T21:39:23.418585Z
h4,8,12,0.105,0.29,6002,udp,h2,,2026-05-10T21:39:23.513527Z
h4,8,12,,,5002,tcp,h2,5.85,2026-05-10T21:39:24.314899Z
h4,8,13,,,5002,tcp,h2,8.31,2026-05-10T21:39:34.434569Z
h4,8,13,0.114,1.2,6002,udp,h2,,2026-05-10T21:39:34.434940Z
h5,8,13,,,5001,tcp,h1,10.2,2026-05-10T21:39:34.968259Z
h5,8,13,0.114,1.3,6001,udp,h1,,2026-05-10T21:39:34.968616Z
h4,8,14,0.098,0.26,6002,udp,h2,,2026-05-10T21:39:43.140083Z
h5,8,14,0.107,0.32,6001,udp,h1,,2026-05-10T21:39:43.454631Z
h5,8,14,,,5001,tcp,h1,5.7,2026-05-10T21:39:45.386923Z
h4,8,14,,,5002,tcp,h2,6.0,2026-05-10T21:39:45.387422Z
h5,8,15,0.102,0.28,6001,udp,h1,,2026-05-10T21:39:53.549104Z
h4,8,15,0.1,0.28,6002,udp,h2,,2026-05-10T21:39:53.974623Z
h5,8,15,,,5001,tcp,h1,6.06,2026-05-10T21:39:54.632457Z
h4,8,15,,,5002,tcp,h2,6.49,2026-05-10T21:39:55.048776Z
h5,8,16,,,5001,tcp,h1,8.46,2026-05-10T21:40:04.878102Z
h5,8,16,0.114,1.2,6001,udp,h1,,2026-05-10T21:40:04.878642Z
h4,8,16,,,5002,tcp,h2,7.4,2026-05-10T21:40:05.718940Z
h4,8,16,0.113,1.1,6002,udp,h2,,2026-05-10T21:40:05.719621Z
h5,8,17,0.103,0.28,6001,udp,h1,,2026-05-10T21:40:13.877044Z
h4,8,17,,,5002,tcp,h2,10.4,2026-05-10T21:40:16.515812Z
h5,8,17,,,5001,tcp,h1,6.48,2026-05-10T21:40:16.516701Z
h4,8,17,0.115,1.4,6002,udp,h2,,2026-05-10T21:40:16.517365Z
h5,8,18,0.182,0.47,6001,udp,h1,,2026-05-10T21:40:24.686639Z
h5,8,18,,,5001,tcp,h1,5.2,2026-05-10T21:40:25.383828Z
h4,8,18,,,5002,tcp,h2,8.02,2026-05-10T21:40:26.915503Z
