episode,throughput,rtt,jitter,loss,reward,rolling_reward,rolling_throughput,rolling_loss
1,70.2,411.42,0.1315,17.0,-0.09999999999999998,-0.09999999999999998,70.2,17.0
2,74.65,572.693,3.4810000000000003,22.0,-0.19999999999999996,-0.14999999999999997,72.42500000000001,19.5
3,69.75,380.26824999999997,0.122,15.0,0.0,-0.09999999999999998,71.53333333333335,18.0
4,72.55000000000001,435.16225,0.7364999999999999,23.5,-0.034452320071789,-0.08361308001794723,71.78750000000001,19.375
5,73.85,491.45925,2.1485000000000003,20.0,-0.017389540175233698,-0.07036837204940452,72.2,19.5
6,68.85,417.62,0.5665,21.5,-0.19278882338953662,-0.09077178060609321,71.64166666666667,19.833333333333332
7,74.95,396.524,0.089,16.25,0.3525976330854468,-0.02743329293587321,72.11428571428571,19.321428571428573
8,75.3,344.1345,0.10350000000000001,2.8,0.3993587853773585,0.025915716853280757,72.5125,17.25625
9,75.25,357.21625000000006,0.15100000000000002,4.9,0.3617693201222647,0.06323278388316786,72.81666666666666,15.883333333333333
10,73.65,356.19449999999995,0.132,2.7,0.27994324022146827,0.0849038295169979,72.9,14.565000000000001
11,72.25,355.477,0.091,2.3,0.19587639643673221,0.11449146916067113,73.10499999999999,13.094999999999999
12,73.35,347.90425000000005,0.1325,4.05,0.2598159713516469,0.1604730662958358,72.975,11.3
13,73.4,357.12575,0.139,2.45,0.26184615684765655,0.18665768198060145,73.34,10.045
14,73.35,331.37025000000006,0.124,3.0999999999999996,0.27186163064940805,0.21728907705272116,73.42,8.004999999999999
15,73.25,331.93725,0.0865,2.4,0.2714558047194401,0.24617361154218856,73.36,6.245
16,73.94999999999999,354.772,0.089,3.8499999999999996,0.2761097668252094,0.2930634705636631,73.86999999999999,4.4799999999999995
17,75.15,315.76825,0.123,3.0999999999999996,0.3834243938343087,0.2961461466385494,73.89000000000001,3.165
18,75.4,344.78200000000004,0.14400000000000002,3.3499999999999996,0.3561517695473365,0.29182544505554714,73.9,3.2199999999999998
19,74.45,335.7365,0.11149999999999999,2.95,0.3129648797575975,0.28694500101908044,73.82000000000001,3.025
20,72.6,323.49800000000005,0.0925,3.35,0.2122875563150223,0.2801794326284358,73.715,3.09
21,72.4,356.74375000000003,0.07700000000000001,3.8499999999999996,0.15798157985277783,0.2763899509700404,73.72999999999999,3.245
22,70.05,370.95900000000006,0.1075,1.845,-0.023166700335720228,0.2480916838013037,73.4,3.0244999999999997
23,73.9,309.5865,0.076,0.685,0.30839694656488564,0.2527467627730266,73.45,2.848
24,72.55000000000001,377.14300000000003,0.08,1.9500000000000002,0.10511389030914753,0.23607198873900054,73.37,2.7329999999999997
25,73.55,359.92875000000004,0.0805,4.0,0.121961511017955,0.22112255936885203,73.4,2.893
26,72.85,339.77225,0.0775,1.35,0.09577356204114193,0.20308893889044527,73.29,2.643
27,73.19999999999999,354.83225,0.078,1.6400000000000001,-0.0033957877909420037,0.16440692072792018,73.095,2.497
28,73.45,350.02675000000005,0.086,1.18,0.03700582323382662,0.1324923260965692,72.9,2.2800000000000002
29,72.9,346.25749999999994,0.1135,1.65,-0.07549873497161186,0.09364596462364828,72.74499999999999,2.15
30,72.95,342.554,0.0955,1.165,0.006011312701583452,0.07301834026230439,72.78,1.9314999999999998
31,73.15,341.51200000000006,0.097,4.7,-0.10632027080323839,0.046588155196702764,72.855,2.0164999999999997
32,74.15,359.21775,0.123,6.75,-0.167533265845317,0.03215149864574309,73.265,2.507
33,74.55,348.56049999999993,0.096,0.5900000000000001,0.1192580417294665,0.013237608162201178,73.33000000000001,2.4975
34,74.5,335.47925,0.097,0.9,0.1638554055062522,0.019111759681911644,73.525,2.3925
35,73.95,327.7935,0.0695,2.22,0.17104490299456285,0.02402009887957243,73.565,2.2145
36,72.75,349.161,0.128,1.4,-0.11137966813578465,0.003304775861879772,73.55499999999999,2.2195
37,73.15,383.001,0.1235,3.2,-0.24050432608538033,-0.020406077967564062,73.55,2.3754999999999997
38,72.80000000000001,356.8965,0.079,1.55,0.0033819153805688326,-0.023768468752889838,73.485,2.4125
39,73.05000000000001,334.843,0.08399999999999999,1.12,0.11337352216091463,-0.00488124303963719,73.5,2.3595
40,72.65,345.9855,0.08299999999999999,0.8400000000000001,0.041667692705559145,-0.00131560503923962,73.47,2.3270000000000004
41,72.85,338.4425,0.0995,1.55,0.030672428276171653,0.012383664868701384,73.44000000000001,2.0119999999999996
42,73.0,329.47400000000005,3.2475,3.55,-0.21334592771713845,0.007802398681519241,73.325,1.6920000000000002
43,73.75,359.52899999999994,0.10400000000000001,6.2,-0.07068763797244575,-0.011192169288671987,73.245,2.253
44,73.3,342.31375,0.1245,7.4,-0.09465754861147513,-0.037043464700444714,73.125,2.903
45,73.85,364.20050000000003,3.853,5.75,-0.2088620590914201,-0.07503416090904301,73.11500000000001,3.2560000000000002
46,73.65,342.3485,0.10600000000000001,6.199999999999999,0.00641844643098001,-0.06325434945236655,73.20500000000001,3.7359999999999998
47,74.0,334.5625,0.165,6.75,0.10795848433030217,-0.0284080684107983,73.29,4.090999999999999
48,73.85,348.79775,0.07150000000000001,8.3,-0.011585737438692983,-0.02990483369272448,73.39500000000001,4.766
49,73.69999999999999,395.499,0.08449999999999999,9.100000000000001,-0.229542055879757,-0.06419639149679164,73.46000000000001,5.564
50,73.8,345.9215,3.5635,5.85,-0.0694560683534916,-0.07530876760269671,73.575,6.065
51,73.55,365.869,0.106,7.1,-0.09543155840217626,-0.0879191662705315,73.64500000000001,6.62
52,73.85,350.0435,0.148,5.449999999999999,0.06526671550823118,-0.060057901947994555,73.73,6.81
53,73.55000000000001,354.04024999999996,0.1545,5.5,-0.009698157279619424,-0.05395895387871191,73.71,6.739999999999999
54,73.6,368.00625,0.07999999999999999,7.25,-0.013520029661900662,-0.04584520198375447,73.74,6.725
55,73.19999999999999,330.41724999999997,0.1005,4.25,0.09560180976594765,-0.015398815098017691,73.67499999999998,6.575
56,73.05,330.07349999999997,0.092,6.1,0.019460799833620382,-0.014094579757753656,73.615,6.565
57,74.05,373.52049999999997,0.0935,7.1,0.08531138830111067,-0.016359289360672803,73.61999999999999,6.6
58,73.9,365.57050000000004,0.168,6.55,0.0856096431919127,-0.006639751297612237,73.62499999999999,6.425
59,73.65,351.3195,0.11549999999999999,8.75,0.04106475002743459,0.020420929293106925,73.62,6.389999999999999
60,73.55,351.4365,0.13749999999999998,7.55,0.011718281042463835,0.028538364232702472,73.595,6.56
61,73.19999999999999,371.1755,0.109,10.1,-0.2647775285785541,0.011603767215064686,73.55999999999999,6.859999999999999
62,73.2,324.47,0.086,2.3,0.05942483141610444,0.011019578805852016,73.49499999999999,6.544999999999999
63,73.95,345.5695,0.106,1.65,0.2695150782002926,0.03894090235384322,73.535,6.159999999999999
64,69.19999999999999,369.66925000000003,0.1225,2.8,-0.2133419792173874,0.018958707398294538,73.095,5.714999999999999
65,64.8,479.33299999999997,0.1195,25.0,-0.45206185567010304,-0.035807659145310526,72.25500000000001,7.789999999999999
66,75.4,362.83325,0.1185,3.93,0.30901728034025566,-0.0068520110946469984,72.49,7.573
67,72.65,295.1055,0.08,0.6,0.2958612948194256,0.014202979557184492,72.35,6.922999999999999
68,73.4,344.5065,0.165,1.2,0.23673402068894853,0.029315417306888074,72.3,6.388
69,72.5,336.209,0.098,1.12,0.2196604156514035,0.04717498386928497,72.18499999999999,5.624999999999999
70,71.7,315.85749999999996,0.10600000000000001,0.845,0.1807600286293039,0.06407915862796897,72.0,4.9544999999999995
71,72.4,353.53875,0.08499999999999999,0.8300000000000001,0.18170183745982024,0.10872709523180642,71.91999999999999,4.0275
72,71.80000000000001,304.829,0.08499999999999999,0.875,0.23810368705317475,0.12659498079551343,71.78,3.8850000000000002
73,72.35,363.81325,0.09,2.44,0.14466356126979668,0.11410982910246385,71.62,3.964
74,72.4,339.53925,0.0895,0.52,0.19824240246632296,0.1552682672708349,71.94000000000001,3.7360000000000007
75,72.4,358.28150000000005,0.14150000000000001,8.2,0.03202693466926272,0.20367714630477143,72.7,2.056
76,73.80000000000001,382.561,0.062,8.7,0.14708568638867398,0.18748398690961326,72.54,2.533
77,73.6,363.02,0.359,7.5,0.028712439963320006,0.16076910142400275,72.635,3.223
78,73.6,380.7645,0.146,7.7,0.10616718414477952,0.14771241776958582,72.655,3.8729999999999998
79,72.65,333.03749999999997,0.10800000000000001,7.35,0.16937432183529388,0.14268380838797487,72.67,4.496
80,72.95,324.3715,0.08299999999999999,7.3,0.20773961141679986,0.14538176666672448,72.795,5.1415
81,73.44999999999999,353.03225,0.134,7.550000000000001,0.15264631934198103,0.14247621485494055,72.9,5.8134999999999994
82,73.15,392.966,0.1155,8.35,0.08073806585371449,0.12673965273499452,73.035,6.561
83,73.25,342.45775000000003,0.106,7.25,0.17829854086140334,0.13010315069415518,73.125,7.042
84,73.75,353.727,0.0925,7.3,0.18532718700908674,0.12881162914843153,73.26,7.720000000000001
85,74.05000000000001,353.89275,0.2115,8.0,-0.13883231411903213,0.11172570426960209,73.425,7.7
86,73.45,389.0045,0.128,9.0,-0.17331666501248136,0.07968546912948654,73.39000000000001,7.7299999999999995
87,73.5,391.80825,3.48,7.8,-0.2684498661979147,0.049969238513363066,73.38000000000001,7.76
88,73.45,376.9485,0.0995,6.95,-0.06299133081856527,0.03305338701702858,73.365,7.685
89,73.65,350.77125,0.112,6.9,0.060488999449295436,0.022164854778428743,73.465,7.640000000000001
90,73.15,373.028,3.4930000000000003,6.9,-0.2549889721961591,-0.024108003582867153,73.485,7.6
91,73.15,352.84499999999997,0.122,7.05,-0.041566685638426776,-0.04352930408090794,73.45500000000001,7.55
92,73.6,341.81725,0.083,6.9,0.10404628914196364,-0.041198481752083016,73.5,7.404999999999999
93,73.85,386.99825,0.10700000000000001,7.65,-0.05047236331399954,-0.06407557216962331,73.56,7.445
94,73.0,379.26125,0.1075,4.359999999999999,-0.09659655594560879,-0.09226794646509286,73.485,7.151000000000001
95,72.3,349.69825000000003,0.0805,0.42500000000000004,-0.11157606477992392,-0.08954232153118205,73.31,6.3935
96,72.4,374.51050000000004,0.089,1.5499999999999998,-0.2164801287627986,-0.09385866790621376,73.205,5.6485
97,72.0,327.01725,0.107,0.43,-0.012823561723822062,-0.0682960374588045,73.05499999999999,4.9115
98,72.4,329.12525,0.0755,0.26,0.057258119428975615,-0.056271092434050415,72.95,4.2425
99,72.3,354.82075,0.129,0.51,-0.08127290260821109,-0.07044728263980107,72.815,3.6035000000000004
100,72.4,368.20025000000004,0.08449999999999999,1.1199999999999999,-0.12444689813040838,-0.05739307523322599,72.74,3.0255
101,72.4,349.41200000000003,0.082,0.61,-0.03011680520938656,-0.05624808719032197,72.66499999999999,2.3815
102,72.44999999999999,338.85575,0.0785,0.79,0.023761609375805157,-0.06427655516693782,72.55,1.7705000000000002
103,72.1,338.4275,0.081,0.655,-0.04034095495323459,-0.06326341433086133,72.375,1.071
104,72.45,331.94949999999994,0.0955,0.9950000000000001,0.051474964260009845,-0.04845626231029947,72.32,0.7344999999999999
105,72.15,308.5045,0.089,0.545,0.02694858967934169,-0.0346037968643729,72.30499999999999,0.7464999999999999
106,71.8,324.92675,0.1335,0.88,-0.07402103315134985,-0.020357887303228024,72.245,0.6795
107,72.25,345.27575,0.08349999999999999,0.75,-0.06303038803764993,-0.025378569934610806,72.27000000000001,0.7114999999999999
108,72.35,330.69625,0.07999999999999999,0.68,0.0137785380053569,-0.02972652807697268,72.265,0.7535000000000001
109,71.25,277.2385,0.091,0.33499999999999996,-0.002202649342267422,-0.021819502750378313,72.16,0.736
110,72.4,350.5585,0.11099999999999999,0.535,-0.12087046638190799,-0.021461859575528274,72.16,0.6775
111,72.5,359.63974999999994,0.14850000000000002,1.7850000000000001,-0.21386888799931303,-0.03983706785452092,72.17,0.7950000000000002
112,72.15,323.336,0.0745,0.405,0.00952273154199477,-0.04126095563790196,72.14,0.7565000000000001
113,72.55,340.552,0.0985,0.36,0.058661019686668626,-0.03136075817391164,72.18499999999999,0.7270000000000001
114,72.35,341.99000000000007,0.087,0.5,0.08981476229426905,-0.027526778370485717,72.175,0.6775
115,72.4,333.60325,0.0775,0.365,0.16360069392001692,-0.013861567946418196,72.2,0.6595000000000001
116,72.05000000000001,324.74425,0.141,0.5599999999999999,-0.07482986700631955,-0.013942451331915165,72.225,0.6275000000000001
117,71.75,317.9345,0.1425,0.63,-0.1546041802278303,-0.0230998305509332,72.175,0.6155
118,72.55,345.75825,0.1125,1.075,0.020436975225530493,-0.02243398682891584,72.195,0.655
119,72.30000000000001,361.28225,0.1265,0.645,-0.09158126412014173,-0.03137184830670327,72.3,0.6859999999999999
120,72.35,345.60375,0.10850000000000001,1.5550000000000002,-0.10069878284683924,-0.029354679953196395,72.295,0.788
121,72.15,366.26825,0.098,1.02,-0.14157412717757378,-0.022125203871022472,72.26,0.7115
122,72.30000000000001,325.095,0.13,0.59,0.022937472161111336,-0.020783729809110814,72.275,0.7300000000000001
123,72.25,351.14750000000004,0.092,0.46499999999999997,0.009722847444786431,-0.025677547033299036,72.245,0.7405
124,72.45,347.746,0.0765,0.755,0.08414212687414124,-0.026244810575311816,72.25500000000001,0.766
125,72.19999999999999,319.0235,0.14250000000000002,0.49,-0.0023658773094631727,-0.04284146769825982,72.23500000000001,0.7785
126,72.6,316.92575,0.14100000000000001,2.155,-0.018529841755750703,-0.03721146517320294,72.28999999999999,0.938
127,72.25,325.17449999999997,0.1385,0.8200000000000001,-0.034933989458214944,-0.0252444460962414,72.34,0.9569999999999999
128,72.4,354.7115,0.1245,1.35,-0.10532213692192954,-0.03782035731098741,72.325,0.9845
129,72.44999999999999,323.54275,0.1,0.5,0.22579237301958943,-0.006082993597014291,72.34,0.9700000000000001
130,71.85,304.11275,0.07050000000000001,0.455,0.039120104866460274,0.007898895174315662,72.28999999999999,0.86
131,72.35,343.51725,0.08,0.29500000000000004,0.07237134763285874,0.029293442655358916,72.30999999999999,0.7874999999999999
132,72.4,317.83425,0.114,0.58,0.12604523185880703,0.03960421862512849,72.32000000000001,0.7865
133,72.45,363.78249999999997,0.079,0.9500000000000001,-0.02912141777660445,0.035719792102989395,72.34,0.835
134,72.55000000000001,336.23924999999997,0.0995,0.655,0.13195976230470968,0.04050155564604624,72.35,0.825
135,72.45,335.38924999999995,0.08449999999999999,0.455,0.13638258463955222,0.05437640184094779,72.375,0.8215
136,72.2,349.14050000000003,0.0775,1.5750000000000002,-0.12337556308665404,0.043891829707857447,72.33500000000001,0.7635000000000001
137,72.4,326.83574999999996,0.1,0.3,0.12179684598929118,0.05956491325260806,72.35,0.7115
138,72.35,330.60175000000004,0.08399999999999999,0.37,0.10464135978805492,0.0805612629236065,72.345,0.6135
139,72.44999999999999,374.13,0.11449999999999999,1.45,-0.16481182795699512,0.04150084282594804,72.345,0.7085000000000001
140,72.3,352.8205,0.135,0.7350000000000001,-0.13855494229301943,0.023733338110000078,72.39,0.7365
141,72.5,338.5305,0.074,0.5,0.17537443948144424,0.034033647294858624,72.405,0.757
142,72.25,347.66075,0.079,0.425,-0.0014471759925765767,0.021284406509720265,72.39,0.7415
143,72.15,343.40575,0.08099999999999999,0.7849999999999999,-0.06974821246526472,0.01722172704085424,72.36,0.725
144,72.6,350.01025000000004,0.08199999999999999,0.475,0.16487042764365623,0.020512793574748896,72.365,0.7070000000000001
