dst,duration_s,episode,flow_id,jitter_ms,loss_pct,port,protocol,src,throughput_mbps,timestamp
h4,8,1,e1-h2-h4-g1,,,5002,tcp,h2,10.4,2026-05-10T22:52:01.817950Z
h5,8,1,e1-h1-h5-g0,0.143,0.56,6001,udp,h1,,2026-05-10T22:52:01.819882Z
h4,8,1,e1-h2-h4-g1,0.116,1.8,6002,udp,h2,,2026-05-10T22:52:01.821255Z
h5,8,1,e1-h1-h5-g0,,,5001,tcp,h1,5.67,2026-05-10T22:52:01.821597Z
h4,8,2,e2-h2-h4-g1,0.109,0.52,6002,udp,h2,,2026-05-10T22:52:09.988274Z
h5,8,2,e2-h1-h5-g0,0.142,0.52,6001,udp,h1,,2026-05-10T22:52:10.200778Z
h4,8,2,e2-h2-h4-g1,,,5002,tcp,h2,5.97,2026-05-10T22:52:11.074068Z
h5,8,2,e2-h1-h5-g0,,,5001,tcp,h1,6.36,2026-05-10T22:52:11.449564Z
h5,8,3,e3-h1-h5-g0,0.099,0.27,6001,udp,h1,,2026-05-10T22:52:19.616561Z
h4,8,3,e3-h2-h4-g1,0.108,0.27,6002,udp,h2,,2026-05-10T22:52:20.040079Z
h4,8,3,e3-h2-h4-g1,,,5002,tcp,h2,5.55,2026-05-10T22:52:21.008415Z
h5,8,3,e3-h1-h5-g0,,,5001,tcp,h1,6.57,2026-05-10T22:52:21.120326Z
h5,8,4,e4-h1-h5-g0,,,5001,tcp,h1,9.82,2026-05-10T22:52:32.310209Z
h5,8,4,e4-h1-h5-g0,0.118,1.9,6001,udp,h1,,2026-05-10T22:52:32.310928Z
h4,8,4,e4-h2-h4-g1,,,5002,tcp,h2,9.41,2026-05-10T22:52:32.311372Z
h4,8,4,e4-h2-h4-g1,0.116,1.3,6002,udp,h2,,2026-05-10T22:52:32.311740Z
h5,8,5,e5-h1-h5-g0,,,5001,tcp,h1,12.5,2026-05-10T22:52:43.945645Z
h4,8,5,e5-h2-h4-g1,,,5002,tcp,h2,13.0,2026-05-10T22:52:43.946018Z
h5,8,5,e5-h1-h5-g0,0.113,1.9,6001,udp,h1,,2026-05-10T22:52:43.946264Z
h4,8,5,e5-h2-h4-g1,0.114,1.5,6002,udp,h2,,2026-05-10T22:52:43.946644Z
h4,8,6,e6-h2-h4-g1,,,5002,tcp,h2,8.21,2026-05-10T22:52:53.984249Z
h4,8,6,e6-h2-h4-g1,0.116,1.3,6002,udp,h2,,2026-05-10T22:52:53.984958Z
h5,8,6,e6-h1-h5-g0,0.11,0.53,6001,udp,h1,,2026-05-10T22:52:53.985349Z
h5,8,6,e6-h1-h5-g0,,,5001,tcp,h1,5.71,2026-05-10T22:52:53.985710Z
h4,8,7,e7-h2-h4-g1,0.102,0.24,6002,udp,h2,,2026-05-10T22:53:02.151314Z
h5,8,7,e7-h1-h5-g0,0.103,0.51,6001,udp,h1,,2026-05-10T22:53:02.523733Z
h4,8,7,e7-h2-h4-g1,,,5002,tcp,h2,5.95,2026-05-10T22:53:03.396806Z
h5,8,7,e7-h1-h5-g0,,,5001,tcp,h1,6.76,2026-05-10T22:53:04.013658Z
h5,8,8,e8-h1-h5-g0,,,5001,tcp,h1,9.5,2026-05-10T22:53:14.392545Z
h5,8,8,e8-h1-h5-g0,0.116,1.8,6001,udp,h1,,2026-05-10T22:53:14.393174Z
h4,8,8,e8-h2-h4-g1,0.126,0.36,6002,udp,h2,,2026-05-10T22:53:14.393680Z
h4,8,8,e8-h2-h4-g1,,,5002,tcp,h2,4.97,2026-05-10T22:53:14.394164Z
h4,8,9,e9-h2-h4-g1,,,5002,tcp,h2,15.2,2026-05-10T22:53:25.803344Z
h5,8,9,e9-h1-h5-g0,,,5001,tcp,h1,12.8,2026-05-10T22:53:26.505452Z
h4,8,9,e9-h2-h4-g1,0.116,2.2,6002,udp,h2,,2026-05-10T22:53:26.506077Z
h5,8,9,e9-h1-h5-g0,0.115,1.7,6001,udp,h1,,2026-05-10T22:53:26.506541Z
h5,8,10,e10-h1-h5-g0,,,5001,tcp,h1,8.07,2026-05-10T22:53:37.031397Z
h5,8,10,e10-h1-h5-g0,0.116,1.6,6001,udp,h1,,2026-05-10T22:53:37.031867Z
h4,8,10,e10-h2-h4-g1,,,5002,tcp,h2,9.06,2026-05-10T22:53:37.366672Z
h4,8,10,e10-h2-h4-g1,0.115,1.2,6002,udp,h2,,2026-05-10T22:53:37.367043Z
h5,8,11,e11-h1-h5-g0,0.101,0.27,6001,udp,h1,,2026-05-10T22:53:45.537584Z
h4,8,11,e11-h2-h4-g1,0.11,0.27,6002,udp,h2,,2026-05-10T22:53:45.889328Z
h4,8,11,e11-h2-h4-g1,,,5002,tcp,h2,5.28,2026-05-10T22:53:46.549453Z
h5,8,11,e11-h1-h5-g0,,,5001,tcp,h1,7.16,2026-05-10T22:53:46.758653Z
h5,8,12,e12-h1-h5-g0,0.108,0.28,6001,udp,h1,,2026-05-10T22:53:54.914814Z
h5,8,12,e12-h1-h5-g0,,,5001,tcp,h1,5.61,2026-05-10T22:53:55.755471Z
