dst,duration_s,episode,jitter_ms,loss_pct,port,protocol,src,throughput_mbps,timestamp
h4,10,1,,,5002,tcp,h2,10.3,2026-05-10T20:10:17.855811Z
h5,10,1,0.153,0.36,6001,udp,h1,,2026-05-10T20:10:17.856607Z
h4,10,1,0.113,1.2,6002,udp,h2,,2026-05-10T20:10:17.857175Z
h5,10,1,,,5001,tcp,h1,4.97,2026-05-10T20:10:17.857393Z
h4,10,2,0.108,0.31,6002,udp,h2,,2026-05-10T20:10:28.010183Z
h5,10,2,0.107,0.24,6001,udp,h1,,2026-05-10T20:10:28.239672Z
h4,10,2,,,5002,tcp,h2,5.41,2026-05-10T20:10:28.626601Z
h5,10,2,,,5001,tcp,h1,5.1,2026-05-10T20:10:29.126955Z
h5,10,3,0.098,0.24,6001,udp,h1,,2026-05-10T20:10:39.289810Z
h4,10,3,0.106,0.24,6002,udp,h2,,2026-05-10T20:10:39.715016Z
h4,10,3,,,5002,tcp,h2,5.22,2026-05-10T20:10:40.628941Z
h5,10,3,,,5001,tcp,h1,5.63,2026-05-10T20:10:40.846684Z
h5,10,4,,,5001,tcp,h1,9.03,2026-05-10T20:10:53.748346Z
h5,10,4,0.114,1.5,6001,udp,h1,,2026-05-10T20:10:53.748591Z
h4,10,4,,,5002,tcp,h2,8.57,2026-05-10T20:10:53.748770Z
h4,10,4,0.112,1.0,6002,udp,h2,,2026-05-10T20:10:53.748939Z
h5,10,5,,,5001,tcp,h1,11.1,2026-05-10T20:11:07.147902Z
h4,10,5,,,5002,tcp,h2,11.8,2026-05-10T20:11:07.148175Z
h5,10,5,0.115,1.6,6001,udp,h1,,2026-05-10T20:11:07.148350Z
h4,10,5,0.115,1.4,6002,udp,h2,,2026-05-10T20:11:07.148539Z
