dst,duration_s,episode,jitter_ms,loss_pct,port,protocol,src,throughput_mbps,timestamp
h4,10,1,,,5002,tcp,h2,9.68,2026-05-10T20:06:28.657139Z
h5,10,1,0.132,0.28,6001,udp,h1,,2026-05-10T20:06:28.658144Z
h4,10,1,0.114,1.2,6002,udp,h2,,2026-05-10T20:06:28.658848Z
h5,10,1,,,5001,tcp,h1,5.31,2026-05-10T20:06:28.659157Z
h4,10,2,0.106,0.26,6002,udp,h2,,2026-05-10T20:06:38.814783Z
h5,10,2,0.106,0.21,6001,udp,h1,,2026-05-10T20:06:39.037357Z
h4,10,2,,,5002,tcp,h2,5.18,2026-05-10T20:06:39.603307Z
h5,10,2,,,5001,tcp,h1,5.31,2026-05-10T20:06:40.006538Z
h5,10,3,0.099,0.24,6001,udp,h1,,2026-05-10T20:06:50.167650Z
h4,10,3,0.106,0.24,6002,udp,h2,,2026-05-10T20:06:50.583042Z
h4,10,3,,,5002,tcp,h2,5.19,2026-05-10T20:06:51.330704Z
h5,10,3,,,5001,tcp,h1,6.05,2026-05-10T20:06:51.582892Z
h5,10,4,,,5001,tcp,h1,8.67,2026-05-10T20:07:03.885030Z
h5,10,4,0.113,1.1,6001,udp,h1,,2026-05-10T20:07:03.885389Z
h4,10,4,,,5002,tcp,h2,9.05,2026-05-10T20:07:04.143930Z
h4,10,4,0.113,1.0,6002,udp,h2,,2026-05-10T20:07:04.144474Z
h5,10,5,,,5001,tcp,h1,11.1,2026-05-10T20:07:16.844204Z
h4,10,5,,,5002,tcp,h2,12.0,2026-05-10T20:07:17.016528Z
h5,10,5,0.112,1.1,6001,udp,h1,,2026-05-10T20:07:17.016673Z
h4,10,5,0.111,1.1,6002,udp,h2,,2026-05-10T20:07:17.016790Z
