dst,duration_s,episode,jitter_ms,loss_pct,port,protocol,src,throughput_mbps,timestamp
h4,10,1,,,5002,tcp,h2,8.94,2026-05-10T20:54:51.728488Z
h5,10,1,0.128,0.42,6001,udp,h1,,2026-05-10T20:54:51.729894Z
h4,10,1,0.115,0.95,6002,udp,h2,,2026-05-10T20:54:51.731383Z
h5,10,1,,,5001,tcp,h1,4.82,2026-05-10T20:54:51.731761Z
h4,10,2,0.108,0.24,6002,udp,h2,,2026-05-10T20:55:01.890916Z
h5,10,2,0.186,0.33,6001,udp,h1,,2026-05-10T20:55:02.111584Z
h4,10,2,,,5002,tcp,h2,5.07,2026-05-10T20:55:02.824159Z
h5,10,2,,,5001,tcp,h1,5.26,2026-05-10T20:55:02.957171Z
h5,10,3,0.098,0.2,6001,udp,h1,,2026-05-10T20:55:13.122433Z
h4,10,3,0.107,0.24,6002,udp,h2,,2026-05-10T20:55:13.539084Z
h4,10,3,,,5002,tcp,h2,4.87,2026-05-10T20:55:14.331998Z
h5,10,3,,,5001,tcp,h1,5.56,2026-05-10T20:55:14.739244Z
h5,10,4,,,5001,tcp,h1,8.79,2026-05-10T20:55:27.589286Z
h5,10,4,0.113,1.3,6001,udp,h1,,2026-05-10T20:55:27.590068Z
h4,10,4,,,5002,tcp,h2,8.65,2026-05-10T20:55:27.590497Z
h4,10,4,0.112,1.0,6002,udp,h2,,2026-05-10T20:55:27.590863Z
h5,10,5,,,5001,tcp,h1,10.9,2026-05-10T20:55:41.274224Z
h4,10,5,,,5002,tcp,h2,11.7,2026-05-10T20:55:41.274965Z
h5,10,5,0.113,1.4,6001,udp,h1,,2026-05-10T20:55:41.275374Z
h4,10,5,0.114,1.4,6002,udp,h2,,2026-05-10T20:55:41.275810Z
h4,10,6,,,5002,tcp,h2,7.98,2026-05-10T20:55:53.531949Z
h4,10,6,0.113,1.1,6002,udp,h2,,2026-05-10T20:55:53.532767Z
h5,10,6,0.108,0.43,6001,udp,h1,,2026-05-10T20:55:53.533204Z
h5,10,6,,,5001,tcp,h1,5.29,2026-05-10T20:55:53.533632Z
h4,10,7,0.103,0.24,6002,udp,h2,,2026-05-10T20:56:03.697545Z
h5,10,7,0.092,0.39,6001,udp,h1,,2026-05-10T20:56:04.067648Z
h4,10,7,,,5002,tcp,h2,5.43,2026-05-10T20:56:04.922409Z
h5,10,7,,,5001,tcp,h1,6.91,2026-05-10T20:56:06.548279Z
h5,10,8,,,5001,tcp,h1,8.22,2026-05-10T20:56:19.483448Z
h5,10,8,0.112,1.4,6001,udp,h1,,2026-05-10T20:56:19.484328Z
h4,10,8,0.149,0.51,6002,udp,h2,,2026-05-10T20:56:19.484916Z
h4,10,8,,,5002,tcp,h2,4.81,2026-05-10T20:56:19.485349Z
h4,10,9,,,5002,tcp,h2,12.6,2026-05-10T20:56:32.797917Z
h5,10,9,,,5001,tcp,h1,11.2,2026-05-10T20:56:33.708132Z
h4,10,9,0.113,1.4,6002,udp,h2,,2026-05-10T20:56:33.709136Z
h5,10,9,0.112,1.3,6001,udp,h1,,2026-05-10T20:56:33.709793Z
h5,10,10,,,5001,tcp,h1,7.13,2026-05-10T20:56:46.252690Z
h5,10,10,0.114,1.3,6001,udp,h1,,2026-05-10T20:56:46.253897Z
h4,10,10,,,5002,tcp,h2,8.23,2026-05-10T20:56:46.323189Z
h4,10,10,0.113,0.94,6002,udp,h2,,2026-05-10T20:56:46.323574Z
