episode,throughput_mbps,rtt_ms,jitter_ms,loss_pct,weighted_reward,reward_rolling_mean
1,798.0,1214.289,33.012,1.5,-0.04999999999999999,-0.04999999999999999
2,944.5,1207.27675,38.231,0.8300000000000001,0.1175991663770582,0.0337995831885291
3,944.0,1608.76675,43.153999999999996,0.9750000000000001,-0.03898948583739917,0.009536560179886347
4,944.0,2302.09775,42.0755,0.755,0.03716640252787207,0.03859202768917703
5,944.0,1354.4215,42.153999999999996,1.025,0.1388477725901182,0.045674896426863704
6,947.5,690.9962499999999,25.8315,0.275,0.3720984996060478,0.18270422490801272
7,945.0,1742.0935,43.361000000000004,0.8500000000000001,0.06441238233359986,0.1917862181765886
8,944.0,1809.2830000000001,42.7025,0.645,0.07702729320388457,0.17117939171451071
9,944.5,1614.6795,43.349999999999994,1.04,0.06331841003764664,0.06825269519171036
10,943.5,1439.2552500000002,42.614000000000004,0.82,0.10974918347985389,0.0833649622404617
11,943.5,1605.96725,43.4005,0.9099999999999999,-0.14954928690122793,0.007839435538757536
12,943.5,2220.6295,43.5605,0.985,-0.38838038316386836,-0.14272682886174745
13,944.0,1439.4505,36.114999999999995,0.8400000000000001,-0.17570499608221538,-0.2378782220491039
14,944.0,1562.862,36.7365,0.9650000000000001,-0.21212838213612092,-0.2587379204607349
15,943.5,1494.1115,41.372,0.63,-0.23469449126161163,-0.2075092898266493
16,943.5,2197.5462500000003,45.123000000000005,0.835,-0.34710314747317217,-0.2646420069569682
17,943.5,4037.79875,22.293,0.385,-0.18796792191236056,-0.25658852021571477
18,945.5,2750.156,43.6195,0.45499999999999996,-0.03531294473695866,-0.19012800470749713
19,945.5,5002.372,42.2505,2.5,-0.14427212328868735,-0.12251766331266885
20,944.5,1579.519,41.56,0.735,-0.031431956721789785,-0.07033900824914525
21,943.5,1641.00425,41.9345,0.5700000000000001,-0.12836871892124294,-0.10135759964390667
22,924.0,2822.6367499999997,37.707499999999996,0.485,-0.20965406779921814,-0.12315158114741694
23,943.5,3540.8415,34.3975,1.6,0.09347663658281954,-0.08151538337921384
24,942.5,2584.41475,34.605999999999995,4.2,0.0323513547168618,-0.0279420254998456
25,939.0,2891.27375,30.959,7.45,-0.022296218142372856,0.03451059105243617
26,939.5,7588.968,32.2765,5.2,-0.13349164959637624,-0.0411455043406291
27,942.0,3658.547,30.5735,7.3999999999999995,0.07689485812250035,-0.026297669872082912
28,936.5,80.552,40.513999999999996,51.5,0.49274310905800744,0.1453821058613772
29,941.5,642.1625,29.369500000000002,10.4,0.3077409299515703,0.2924596323773594
30,939.0,1523.9814999999999,28.4125,10.65,0.26090461397846343,0.3537962176626804
31,938.5,6252.38075,31.578,8.55,0.06693388852632913,0.2118598108187876
32,935.0,5556.56725,29.314,12.0,-0.06911072487492606,0.08624259254328882
33,940.5,3246.3252500000003,29.841,9.5,0.11304508585463463,0.03695608316867923
34,943.0,2401.33875,41.2335,0.46499999999999997,0.1899650319162525,0.07796646429865368
35,901.0,1835.2635,40.539500000000004,0.75,0.04831359565185965,0.11710790447424894
36,944.0,1187.84125,28.317,1.1,0.3089200293044348,0.182399552290849
37,943.5,2647.688,40.781,0.6499999999999999,0.19487550712407564,0.18403637736012338
38,943.5,3909.82775,36.938500000000005,0.905,0.5958973137209437,0.36656428338315133
39,943.5,1691.294,41.733,0.635,0.19395696495710324,0.32824326193404085
40,944.0,2252.035,39.372,0.515,0.1907516604106028,0.3268686463628832
41,943.0,2343.56575,40.0685,0.505,0.18004012424598193,0.18824958320456261
42,944.0,1660.68875,39.111000000000004,0.7350000000000001,0.19306830778651157,0.18795336414769873
43,944.0,3651.2377500000002,40.631,0.8999999999999999,0.05530073523648117,0.14280305575632488
44,944.0,1796.3739999999998,39.394000000000005,1.105,0.10306005465172875,0.11714303255824048
45,943.5,7046.44,41.3665,18.3,-0.2358100697906281,-0.02581642663413943
46,944.5,3321.73675,37.253,0.49,0.15451753575210161,0.007255840204400722
47,943.0,1281.3077500000002,38.652,0.8400000000000001,-0.07990464344509514,-0.05373239249454057
48,943.5,2729.3782499999998,18.7545,0.465,-0.022277638052202578,0.017445084751601263
49,944.0,4534.06125,35.8695,2.1,-0.025788602466924646,-0.042656961321407484
50,944.0,6362.37425,33.5115,5.300000000000001,-0.07090690522661935,-0.03965771524858223
