episode,throughput_mbps,rtt_ms,jitter_ms,loss_pct,weighted_reward,reward_rolling_mean
1,19.65,131.823875,0.0885,0.4675,-0.07440805521604527,-0.07440805521604527
2,20.975,110.842,0.11375,0.0505,0.09971709082367727,0.012654517803816004
3,22.9,117.865,0.08075,0.3655,0.060557550747386835,0.02862219545167295
4,20.55,123.516625,0.116,0.5915,-0.14073140354700556,0.0065144126746861835
5,22.675,122.859125,0.087,0.528,-0.03775145858892384,-0.039308437129514186
6,19.35,129.184125,0.11825,0.52225,-0.19195296591700575,-0.12347860935097839
7,20.725,131.73512499999998,0.08775000000000001,0.41675,-0.10499950383666613,-0.11156797611419857
8,20.85,138.965,0.11524999999999999,0.658,-0.1649994280004848,-0.15398396591805222
9,20.375,128.83100000000002,0.1185,0.488,-0.11808096632992614,-0.12935996605569236
10,20.1,130.53924999999998,0.12225,0.7152499999999999,-0.11542067676712664,-0.13283369036584589
11,19.35,119.95525,0.08825,0.0305,-0.05297915893551785,-0.09549360067752355
12,16.775,117.8425,0.113,0.115,-0.17545019846782467,-0.11461667805682303
13,22.9,114.974875,0.084,0.2515,-0.049430139198672784,-0.09261983220067176
14,22.725,122.9675,0.08499999999999999,0.2395,-0.1125289432441549,-0.11246976030355078
15,22.55,126.35675,0.11574999999999999,0.58575,-0.20570551683255017,-0.12255486642512596
16,19.525,134.545375,0.08825,0.49124999999999996,-0.20875795192599544,-0.1756641373342335
17,23.125,126.32124999999999,0.08299999999999999,0.3205,-0.01564888538550454,-0.14337078471468337
18,20.05,118.491625,0.11425,0.27649999999999997,-0.12026082806758127,-0.11488922179302707
19,18.675,128.68725,0.09025,0.517,-0.27840651598779,-0.13810540981362526
20,18.775,127.296875,0.115,0.49450000000000005,-0.2918982866811326,-0.2301885435788346
21,12.2325,133.133375,0.08325,6.517499999999999,-0.12137702934630436,-0.2305606106717423
22,18.6,119.953625,0.08975,0.21675,0.14614402989117858,-0.08904376204541943
23,22.975,128.817625,0.1145,0.61925,0.06202602772355112,0.028931009422808473
24,23.575,133.42625,0.1155,0.9087500000000001,-0.15132624887225038,0.018947936247493136
25,22.7,131.86425,0.11375,0.66975,-0.05358377305610153,-0.0476279980682669
26,18.375,121.78275,0.11675,0.37925000000000003,-0.15068056702258892,-0.11853019631698025
27,19.225,115.6545,0.11225,0.104,-0.012271113364514481,-0.07217848448106827
28,17.9,127.329875,0.11625,0.38125,-0.21253757789973357,-0.1251630860956123
29,21.375,117.27625,0.11375,0.211,0.06555237971543124,-0.0530854371829389
30,17.0,122.732625,0.119,0.27275,-0.17263079382980734,-0.10653866400470319
31,24.45,113.66137499999999,0.108,0.35175,-0.06047571034506288,-0.055851374819812956
32,23.875,113.680875,0.1095,0.25175000000000003,-0.058336076636241324,-0.09714752693703714
33,23.65,132.239125,0.11474999999999999,0.81275,-0.1600819164022873,-0.09296456779453048
34,18.55,129.243875,0.08750000000000001,0.53275,-0.2002903377376789,-0.13956944359206913
35,19.325,117.515625,0.08600000000000001,0.26675,-0.07197868988941254,-0.14411698134312623
36,23.525,118.05075000000001,0.11225,0.429,-0.19340546450321827,-0.1552248307101032
37,24.175,152.217125,0.1175,1.2125,-0.3433811975743329,-0.20292178398898786
38,19.275,114.420375,0.11375,0.10525000000000001,-0.046098827318510435,-0.19429516313202047
39,19.700000000000003,121.0325,0.1145,0.46799999999999997,-0.053243157140223624,-0.14757439401102226
40,23.625,152.114125,0.1165,1.1675,-0.16041425837609033,-0.08658541427827476
41,19.775,113.798375,0.1145,0.125,0.019564410526522195,-0.06469766832993055
42,19.45,135.94287500000002,0.08725,0.55475,-0.13835147863155725,-0.09306710882704176
43,19.275000000000002,141.81175,0.11575,0.6555,-0.2293952088470636,-0.11606075898403286
44,21.45,146.40525,0.11675,0.9922500000000001,-0.1792635516995207,-0.18233674639271383
45,23.825000000000003,129.76975,0.08775,0.6835,0.002671093857279802,-0.13532922222976812
46,19.775,113.699375,0.08375,0.10175000000000001,-0.05309410976737439,-0.07656218920320507
47,23.75,131.16424999999998,0.11449999999999999,0.5965,-0.10919051174350317,-0.05320450921786588
48,18.05,117.83675000000001,0.11549999999999999,0.18525,-0.1318210319862249,-0.09803521783236746
49,20.025,120.9245,0.11225,0.41125,-0.010308965805526649,-0.08377350317841821
50,24.45,111.0235,0.08025,0.0275,0.10527621901109477,-0.01228459292688556
51,18.15,114.8685,0.08375,0.10175,-0.21407062215911196,-0.03970112298451458
