episode,flow_id,src,dst,throughput_mbps,rtt_ms,jitter_ms,loss_pct,absolute_reward
15,e15-h3-h10-g2,h3,h10,34.8,53.245000000000005,0.076,0.11,-0.04917327272727274
15,e15-h4-h9-g3,h4,h9,45.9,85.755,0.068,1.9,-0.18346345454545454
16,e16-h1-h12-g0,h1,h12,11.4,56.6095,0.079,0.16,-0.10096572727272726
16,e16-h2-h11-g1,h2,h11,25.9,61.879000000000005,0.0,0.0,-0.07666709090909091
16,e16-h3-h10-g2,h3,h10,52.5,87.2105,0.082,2.2,-0.1894584545454545
16,e16-h4-h9-g3,h4,h9,9.92,59.652,0.107,0.11,-0.10740963636363637
17,e17-h1-h12-g0,h1,h12,35.6,69.5265,0.0,0.0,-0.07432572727272725
17,e17-h2-h11-g1,h2,h11,19.6,62.009499999999996,0.069,0.72,-0.12479663636363633
17,e17-h3-h10-g2,h3,h10,41.0,74.15299999999999,0.067,1.8,-0.1641625454545454
17,e17-h4-h9-g3,h4,h9,51.3,53.361000000000004,0.115,0.086,-0.01843927272727271
18,e18-h1-h12-g0,h1,h12,9.69,57.64149999999999,0.082,0.17,-0.10665681818181816
18,e18-h2-h11-g1,h2,h11,9.29,61.842,0.115,0.16,-0.1154830909090909
18,e18-h3-h10-g2,h3,h10,34.7,64.6185,0.068,1.5,-0.14155409090909088
18,e18-h4-h9-g3,h4,h9,44.3,53.1265,0.081,0.11,-0.03169354545454544
19,e19-h1-h12-g0,h1,h12,40.3,79.755,0.071,1.5,-0.1616632727272727
19,e19-h2-h11-g1,h2,h11,11.1,58.3245,0.089,0.098,-0.10190118181818182
19,e19-h3-h10-g2,h3,h10,27.0,63.745000000000005,0.069,1.0,-0.1288130909090909
19,e19-h4-h9-g3,h4,h9,19.6,64.68299999999999,0.069,0.65,-0.12664363636363635
20,e20-h1-h12-g0,h1,h12,12.4,56.806,0.087,0.13,-0.09808854545454544
20,e20-h2-h11-g1,h2,h11,28.5,65.26400000000001,0.067,1.1,-0.1341118181818182
20,e20-h3-h10-g2,h3,h10,34.5,69.727,0.068,1.4,-0.14713472727272725
20,e20-h4-h9-g3,h4,h9,17.3,75.993,0.089,0.56,-0.14906545454545453
21,e21-h1-h12-g0,h1,h12,35.4,69.65700000000001,0.069,1.4,-0.14536436363636362
21,e21-h2-h11-g1,h2,h11,19.2,59.772,0.077,0.1,-0.0900969090909091
21,e21-h3-h10-g2,h3,h10,12.4,59.004,0.087,0.12,-0.10198454545454544
21,e21-h4-h9-g3,h4,h9,9.58,58.290000000000006,0.091,0.12,-0.10570781818181821
22,e22-h1-h12-g0,h1,h12,28.8,64.90299999999999,0.068,1.2,-0.1378503636363636
22,e22-h2-h11-g1,h2,h11,9.33,59.839,0.0,0.0,-0.10271436363636363
22,e22-h3-h10-g2,h3,h10,24.8,54.2625,0.081,0.12,-0.06992009090909092
22,e22-h4-h9-g3,h4,h9,10.2,64.014,0.126,0.094,-0.11493854545454543
23,e23-h1-h12-g0,h1,h12,32.8,75.12049999999999,0.081,1.2,-0.15109063636363634
23,e23-h2-h11-g1,h2,h11,34.0,55.223,0.103,0.12,-0.055245818181818174
23,e23-h3-h10-g2,h3,h10,9.72,59.5855,0.106,0.12,-0.10813427272727272
23,e23-h4-h9-g3,h4,h9,49.9,86.6455,0.069,2.0,-0.18297772727272726
24,e24-h1-h12-g0,h1,h12,39.4,75.7505,0.0,0.0,-0.07986463636363636
24,e24-h2-h11-g1,h2,h11,39.3,79.47,0.07,1.6,-0.16790545454545452
24,e24-h3-h10-g2,h3,h10,20.6,57.3185,0.1,0.11,-0.08328245454545453
24,e24-h4-h9-g3,h4,h9,38.8,72.361,0.067,1.6,-0.15457854545454547
25,e25-h1-h12-g0,h1,h12,27.5,67.158,0.069,1.0,-0.13473
25,e25-h2-h11-g1,h2,h11,46.3,54.3065,0.087,0.082,-0.029053181818181825
25,e25-h3-h10-g2,h3,h10,54.2,87.9365,0.072,2.3,-0.19275954545454543
25,e25-h4-h9-g3,h4,h9,10.6,57.593999999999994,0.0,0.0,-0.09591527272727271
26,e26-h1-h12-g0,h1,h12,24.6,64.4515,0.067,0.84,-0.12657772727272726
26,e26-h2-h11-g1,h2,h11,15.4,57.2345,0.075,0.1,-0.091919
26,e26-h3-h10-g2,h3,h10,26.4,63.8605,0.067,1.0,-0.130123
26,e26-h4-h9-g3,h4,h9,12.8,61.404,0.106,0.14,-0.10717127272727273
27,e27-h1-h12-g0,h1,h12,15.6,58.8255,0.11,0.16,-0.09794736363636361
27,e27-h2-h11-g1,h2,h11,11.3,59.801,0.095,0.14,-0.10662654545454545
27,e27-h3-h10-g2,h3,h10,16.4,58.0135,0.066,0.52,-0.11260481818181818
27,e27-h4-h9-g3,h4,h9,30.2,56.194,0.08,0.098,-0.06285890909090909
28,e28-h1-h12-g0,h1,h12,9.81,63.1265,0.132,1.2,-0.16920863636363637
28,e28-h2-h11-g1,h2,h11,12.3,60.2,0.077,0.92,-0.14449836363636365
28,e28-h3-h10-g2,h3,h10,45.2,82.79650000000001,0.068,2.9,-0.22881918181818178
28,e28-h4-h9-g3,h4,h9,12.6,58.638,0.082,0.66,-0.12785890909090908
29,e29-h1-h12-g0,h1,h12,33.5,84.0315,0.147,1.3,-0.17303590909090907
29,e29-h2-h11-g1,h2,h11,25.3,92.9005,0.535,0.13,-0.149511
29,e29-h3-h10-g2,h3,h10,17.9,87.62700000000001,0.318,0.1,-0.14961654545454545
29,e29-h4-h9-g3,h4,h9,18.3,78.5865,0.32,0.11,-0.1313202727272727
30,e30-h1-h12-g0,h1,h12,10.3,79.3425,0.455,0.13,-0.14918772727272728
30,e30-h2-h11-g1,h2,h11,32.9,104.5415,0.145,1.3,-0.21513481818181818
30,e30-h3-h10-g2,h3,h10,10.0,87.217,0.687,0.13,-0.1668741818181818
30,e30-h4-h9-g3,h4,h9,9.44,113.29650000000001,0.338,0.13,-0.21795736363636364
31,e31-h1-h12-g0,h1,h12,47.4,73.3605,0.562,0.13,-0.0704111818181818
