episode,throughput_mbps,rtt_ms,jitter_ms,loss_pct,weighted_reward,reward_rolling_mean
1,945.5,1215.90975,33.73,0.74,0.15000000000000002,0.15000000000000002
2,945.5,2618.063,33.9625,1.06,-0.10005756831439974,0.02497121584280014
3,945.0,1458.627,42.3135,1.0,-0.13342725376805792,-0.027828274027485878
4,947.5,598.6115,22.178,0.24,0.317515624554741,0.02801026749076112
5,947.0,759.349,28.499499999999998,0.2215,0.19575498483848497,0.12661445187505602
6,947.0,555.2139999999999,19.584,0.315,0.2478175227634009,0.25369604405220897
7,946.5,1085.71275,41.515,0.33499999999999996,0.047921372154002786,0.16383129325196288
8,946.5,967.92475,31.5105,0.585,0.08731805184035607,0.12768564891925324
9,947.5,674.12525,24.7285,0.32,0.26352697727532387,0.1329221337565609
10,947.5,681.5862500000001,25.299999999999997,0.20500000000000002,0.26906286583692485,0.2066359649842016
11,947.5,718.22975,27.95,0.20500000000000002,0.2530737694589529,0.26188787085706716
12,945.5,1523.5795,43.548,0.45000000000000007,-0.09477883191251402,0.1424526011277879
13,946.5,887.8032499999999,33.6145,0.34,0.05280629615195688,0.07036707789946524
14,947.0,544.7345,19.0255,0.395,0.22571697053398376,0.061248144924475535
15,946.5,713.747,25.796,0.42500000000000004,0.12046913510959997,0.13299746726518022
16,948.0,667.0269999999999,24.633499999999998,0.22999999999999998,0.29484290989487894,0.2136763385128209
17,947.0,1614.6627499999997,43.561,0.29000000000000004,0.009376363056279188,0.14156280268691937
18,947.5,623.87925,22.4045,0.0805,0.29343752210467966,0.19921893168527927
19,947.0,1073.85075,40.841499999999996,0.34,0.04053227939964007,0.11444872152019964
20,947.5,1044.7779999999998,40.7705,0.22,0.11999455820790919,0.15132145323740964
21,945.5,1190.632,31.2795,0.9,-0.05859859156524999,0.03397608201409976
22,947.0,582.1045,20.4105,0.3,0.23377769853065883,0.09839122172443936
23,947.0,845.4292499999999,32.5565,0.31,0.14711157230046498,0.10743022642195794
24,946.5,1300.46325,35.667500000000004,0.67,-0.01768653893590358,0.12106757729840674
25,947.0,553.0484999999999,20.6425,0.26,0.24478445412090533,0.1247364958284889
26,945.0,1777.9859999999999,34.103,1.1,-0.17642901905756012,0.016889632042480545
27,944.0,1490.58075,43.3535,0.75,-0.24970241195732193,-0.06044899229799224
28,946.0,1471.0175,41.085,0.71,-0.06971187830864872,-0.16528110310784358
29,945.5,1018.70175,29.1695,0.54,0.02172799483619775,-0.09922876514325764
30,944.0,2018.8185,43.4915,0.8,-0.321584928571508,-0.123189604014653
31,943.5,1571.895,43.3985,1.05,-0.32102104439044166,-0.20695932604191727
32,944.5,1487.09625,42.6095,0.76,-0.2041522668243192,-0.28225274659542293
33,943.0,1975.471,43.071,2.2,-0.4687704320742297,-0.33131458109633016
34,946.0,1220.49825,38.165000000000006,0.8,-0.018480593350261462,-0.23046776408293676
35,944.0,2291.77,44.314,0.965,-0.3587521876007046,-0.2820010710083986
36,944.0,1593.84425,43.9735,1.35,-0.2852362976154101,-0.22082302618879204
37,944.5,2103.742,42.5005,0.995,-0.2867759980292721,-0.3102548277484623
38,945.0,2032.95475,44.6925,1.4500000000000002,-0.22966741144896818,-0.26722656903121683
39,944.0,1635.1345000000001,43.7805,1.11,-0.23056736112404969,-0.24900359020076332
40,943.5,1506.1945,43.4945,0.4,-0.19170855787319177,-0.21731444348206988
41,943.5,1490.14575,38.5135,1.25,-0.1796879860396432,-0.20065463501229489
42,944.0,1527.527,36.232,0.94,-0.10847475007495294,-0.1599570979959293
43,948.0,1587.72525,42.8775,0.675,0.1718309869748984,-0.03877724971323259
44,946.0,972.6189999999999,33.620000000000005,0.38,0.1518286412027124,0.07172829270088595
45,944.0,2698.98325,44.143,0.81,-0.32898601387452486,-0.001775461898971357
46,944.5,1671.124,43.233000000000004,0.665,-0.12827072955571064,-0.10180936740917439
47,944.0,1563.66625,41.224000000000004,0.765,-0.15609631349027872,-0.20445101897350473
48,943.5,1624.5410000000002,44.253,1.005,-0.2761336560539195,-0.18683356636663628
49,944.0,2313.4300000000003,43.61750000000001,1.385,-0.31652392894458947,-0.2495846328295959
50,944.0,1494.0387500000002,41.4715,1.03,-0.16665898820988684,-0.2531055244027986
