episode,flow_id,src,dst,throughput_mbps,rtt_ms,jitter_ms,loss_pct,absolute_reward
30,e30-h1-h16-g0,h1,h16,11.2,80.6585,0.0,0.0,-0.023506211111111112
30,e30-h2-h15-g1,h2,h15,10.6,80.1035,0.128,0.13,-0.026840544444444437
31,e31-h1-h16-g0,h1,h16,11.8,85.69999999999999,0.245,0.11,-0.027582777777777758
31,e31-h2-h15-g1,h2,h15,12.0,78.86699999999999,0.0,0.0,-0.020653533333333324
32,e32-h1-h16-g0,h1,h16,28.4,86.2825,0.079,1.2,-0.00689538888888889
32,e32-h2-h15-g1,h2,h15,7.93,82.7355,0.127,0.098,-0.03387007777777778
33,e33-h1-h16-g0,h1,h16,14.6,83.9635,0.082,0.63,-0.027629655555555546
33,e33-h2-h15-g1,h2,h15,15.2,83.861,0.081,0.6,-0.025781822222222223
34,e34-h1-h16-g0,h1,h16,8.69,82.59649999999999,0.142,0.095,-0.03209778888888888
34,e34-h2-h15-g1,h2,h15,7.87,80.89750000000001,0.115,0.096,-0.03283461111111111
35,e35-h1-h16-g0,h1,h16,29.2,101.482,0.089,1.3,-0.0157673111111111
35,e35-h2-h15-g1,h2,h15,8.32,87.6945,0.172,0.094,-0.03605381111111112
36,e36-h1-h16-g0,h1,h16,9.89,86.5675,0.164,0.12,-0.03225472222222221
36,e36-h2-h15-g1,h2,h15,10.7,79.0775,0.114,0.096,-0.025450722222222215
37,e37-h1-h16-g0,h1,h16,8.11,84.4405,0.162,0.14,-0.035228077777777776
37,e37-h2-h15-g1,h2,h15,15.5,83.318,0.082,0.59,-0.024642355555555558
38,e38-h1-h16-g0,h1,h16,18.2,81.004,0.164,0.14,-0.010749955555555555
38,e38-h2-h15-g1,h2,h15,8.17,85.0485,0.158,0.09,-0.03469754444444444
39,e39-h1-h16-g0,h1,h16,7.64,83.741,0.164,0.088,-0.035078822222222215
39,e39-h2-h15-g1,h2,h15,28.4,93.04650000000001,0.102,1.4,-0.014022788888888894
40,e40-h1-h16-g0,h1,h16,21.4,92.53,0.09,0.99,-0.02308244444444444
40,e40-h2-h15-g1,h2,h15,19.2,86.531,0.083,0.78,-0.02120093333333334
41,e41-h1-h16-g0,h1,h16,15.0,81.836,0.079,0.57,-0.024555266666666662
41,e41-h2-h15-g1,h2,h15,7.94,85.738,0.166,0.11,-0.035946355555555545
42,e42-h1-h16-g0,h1,h16,13.1,93.9565,0.085,0.5,-0.035017788888888894
42,e42-h2-h15-g1,h2,h15,12.6,102.9,0.132,0.46,-0.041036
43,e43-h1-h16-g0,h1,h16,16.5,80.90299999999999,0.139,0.093,-0.013687133333333316
43,e43-h2-h15-g1,h2,h15,8.25,82.313,0.13,0.11,-0.033094466666666655
44,e44-h1-h16-g0,h1,h16,15.4,80.5115,0.08,0.63,-0.02377467777777777
44,e44-h2-h15-g1,h2,h15,13.3,88.26599999999999,0.096,0.52,-0.031492044444444436
45,e45-h1-h16-g0,h1,h16,21.4,84.676,0.0,0.0,-0.00325004444444444
45,e45-h2-h15-g1,h2,h15,10.4,80.5885,0.0,0.0,-0.025241988888888886
46,e46-h1-h16-g0,h1,h16,15.6,84.3235,0.0,0.0,-0.015927433333333324
46,e46-h2-h15-g1,h2,h15,13.0,84.2165,0.081,0.52,-0.02968401111111111
47,e47-h1-h16-g0,h1,h16,22.3,86.009,0.088,0.82,-0.01461384444444444
47,e47-h2-h15-g1,h2,h15,12.7,81.0475,0.132,0.092,-0.022182277777777776
48,e48-h1-h16-g0,h1,h16,14.6,80.976,0.081,0.62,-0.025684155555555543
48,e48-h2-h15-g1,h2,h15,7.86,81.89150000000001,0.139,0.11,-0.033735233333333337
49,e49-h1-h16-g0,h1,h16,15.5,98.588,0.086,0.64,-0.034566355555555546
49,e49-h2-h15-g1,h2,h15,7.92,84.309,0.149,0.092,-0.0348124
50,e50-h1-h16-g0,h1,h16,14.3,83.2515,0.084,0.56,-0.026825122222222213
50,e50-h2-h15-g1,h2,h15,12.7,83.31649999999999,0.08,0.49,-0.029357677777777768
51,e51-h1-h16-g0,h1,h16,12.7,82.7505,0.149,0.091,-0.02324007777777778
51,e51-h2-h15-g1,h2,h15,22.7,91.0945,0.081,1.1,-0.020955255555555545
