episode,flow_id,src_x,dst_x,timestamp,throughput_mbps,rtt_ms,jitter_ms,loss_pct,weighted_reward,decision,reward_rolling_mean,src_y,dst_y,controller_weighted_reward,computed_weighted_reward
10,e10-h1-h4-g2,h1,h4,2026-05-28 08:55:09.437379+00:00,4.72,22.299,0.117,0.68,-0.161,30,-0.1823,h1,h4,-0.161,-0.0220424
11,e11-h2-h4-g1,h2,h4,2026-05-28 08:55:43.730214+00:00,5.6,22.118499999999997,0.118,1.3,-0.192,31,-0.18234999999999998,h2,h4,-0.192,-0.0308851
11,e11-h1-h5-g0,h1,h5,2026-05-28 08:55:43.731112+00:00,4.03,27.052500000000002,0.125,0.69,-0.181,32,-0.18265,h1,h5,-0.181,-0.0253445
11,e11-h1-h4-g2,h1,h4,2026-05-28 08:55:43.732001+00:00,9.26,23.7395,0.119,0.89,-0.187,33,-0.18345,h1,h4,-0.187,-0.024246699999999996
12,e12-h2-h4-g1,h2,h4,2026-05-28 08:56:17.450143+00:00,3.85,22.183,0.123,0.98,-0.185,34,-0.1838,h2,h4,-0.185,-0.0268388
12,e12-h1-h5-g0,h1,h5,2026-05-28 08:56:17.450444+00:00,7.27,26.490000000000002,0.123,0.81,-0.236,35,-0.18635000000000002,h1,h5,-0.236,-0.025505
12,e12-h1-h4-g2,h1,h4,2026-05-28 08:56:17.450979+00:00,3.71,22.528,0.122,0.74,-0.162,36,-0.1836,h1,h4,-0.162,-0.0234988
13,e13-h1-h5-g0,h1,h5,2026-05-28 08:56:49.067648+00:00,3.65,23.823999999999998,0.114,0.67,-0.161,37,-0.1833,h1,h5,-0.161,-0.0232264
13,e13-h2-h4-g1,h2,h4,2026-05-28 08:56:50.421479+00:00,3.47,22.0925,0.117,0.65,-0.164,38,-0.1828,h2,h4,-0.164,-0.021968500000000002
13,e13-h1-h4-g2,h1,h4,2026-05-28 08:56:50.444898+00:00,3.87,21.7225,0.119,0.84,-0.176,39,-0.18275,h1,h4,-0.176,-0.024442499999999995
14,e14-h1-h5-g0,h1,h5,2026-05-28 08:57:21.989329+00:00,3.41,57.0735,0.128,0.58,-0.169,40,-0.1816,h1,h5,-0.169,-0.041964100000000004
14,e14-h2-h4-g1,h2,h4,2026-05-28 08:57:22.095444+00:00,4.0,65.1855,0.622,0.99,-0.354,41,-0.19075,h2,h4,-0.354,-0.054227300000000006
14,e14-h1-h4-g2,h1,h4,2026-05-28 08:57:22.454358+00:00,4.22,61.794,1.426,0.93,-0.25,42,-0.19375,h1,h4,-0.25,-0.05361639999999999
15,e15-h2-h4-g1,h2,h4,2026-05-28 08:57:53.964910+00:00,3.58,36.774,0.165,0.84,-0.26,43,-0.1978,h2,h4,-0.26,-0.0337274
15,e15-h1-h4-g2,h1,h4,2026-05-28 08:57:54.142029+00:00,3.75,32.2425,0.156,0.76,-0.169,44,-0.19805,h1,h4,-0.169,-0.029713499999999997
15,e15-h1-h5-g0,h1,h5,2026-05-28 08:57:54.417308+00:00,3.65,25.052,0.118,0.81,-0.193,45,-0.19495,h1,h5,-0.193,-0.0260752
16,e16-h1-h5-g0,h1,h5,2026-05-28 08:58:27.378192+00:00,5.39,28.9675,0.125,0.93,-0.243,46,-0.19895,h1,h5,-0.243,-0.0295495
16,e16-h2-h4-g1,h2,h4,2026-05-28 08:58:28.402629+00:00,3.68,22.755000000000003,0.128,0.9,-0.184,47,-0.20024999999999998,h2,h4,-0.184,-0.026065
16,e16-h1-h4-g2,h1,h4,2026-05-28 08:58:28.402944+00:00,8.16,23.0135,0.114,1.0,-0.185,48,-0.2003,h1,h4,-0.185,-0.025886099999999995
17,e17-h1-h4-g2,h1,h4,2026-05-28 08:59:02.635464+00:00,8.12,22.576999999999998,0.113,1.0,-0.178,49,-0.1995,h1,h4,-0.178,-0.0256372
17,e17-h1-h5-g0,h1,h5,2026-05-28 08:59:02.636177+00:00,4.87,21.8765,0.107,0.69,-0.162,50,-0.19955,h1,h5,-0.162,-0.021848899999999997
17,e17-h2-h4-g1,h2,h4,2026-05-28 08:59:02.636849+00:00,4.51,21.341,0.113,0.66,-0.158,51,-0.19785,h2,h4,-0.158,-0.021239600000000004
18,e18-h1-h4-g2,h1,h4,2026-05-28 08:59:33.934454+00:00,3.57,25.936500000000002,0.128,0.69,-0.2,52,-0.1988,h1,h4,-0.2,-0.0248679
18,e18-h2-h4-g1,h2,h4,2026-05-28 08:59:36.256602+00:00,7.1,23.401,0.12,1.2,-0.203,53,-0.1996,h2,h4,-0.203,-0.029560599999999996
18,e18-h1-h5-g0,h1,h5,2026-05-28 08:59:36.560128+00:00,3.37,24.083,0.118,0.55,-0.17,54,-0.19885000000000003,h1,h5,-0.17,-0.021705799999999997
19,e19-h2-h4-g1,h2,h4,2026-05-28 09:00:07.933888+00:00,4.06,22.3975,0.128,1.1,-0.193,55,-0.19669999999999999,h2,h4,-0.193,-0.028698500000000002
19,e19-h1-h4-g2,h1,h4,2026-05-28 09:00:11.167211+00:00,3.86,22.3955,0.117,0.78,-0.165,56,-0.19685,h1,h4,-0.165,-0.0239443
19,e19-h1-h5-g0,h1,h5,2026-05-28 09:00:11.168082+00:00,4.87,24.115499999999997,0.114,1.0,-0.21,57,-0.19929999999999998,h1,h5,-0.21,-0.027863299999999997
20,e20-h1-h4-g2,h1,h4,2026-05-28 09:00:44.324923+00:00,8.19,24.0135,0.118,1.2,-0.184,58,-0.2003,h1,h4,-0.184,-0.0294861
20,e20-h2-h4-g1,h2,h4,2026-05-28 09:00:44.325429+00:00,3.83,22.299,0.122,0.85,-0.163,59,-0.19965,h2,h4,-0.163,-0.024963399999999997
20,e20-h1-h5-g0,h1,h5,2026-05-28 09:00:44.325884+00:00,4.08,24.4105,0.125,0.74,-0.175,60,-0.19995000000000002,h1,h5,-0.175,-0.0244893
21,e21-h2-h4-g1,h2,h4,2026-05-28 09:01:16.028223+00:00,3.81,23.3645,0.113,0.67,-0.192,61,-0.19185,h2,h4,-0.192,-0.0228837
21,e21-h1-h5-g0,h1,h5,2026-05-28 09:01:17.826831+00:00,3.59,24.2855,0.118,0.65,-0.171,62,-0.1879,h1,h5,-0.171,-0.023239299999999997
21,e21-h1-h4-g2,h1,h4,2026-05-28 09:01:18.233487+00:00,7.7,24.1665,0.126,0.72,-0.153,63,-0.18255000000000002,h1,h4,-0.153,-0.022597899999999997
22,e22-h1-h4-g2,h1,h4,2026-05-28 09:01:50.704424+00:00,6.07,25.8525,0.116,1.3,-0.239,64,-0.18605,h1,h4,-0.239,-0.0329315
22,e22-h1-h5-g0,h1,h5,2026-05-28 09:01:53.572332+00:00,7.18,24.2165,0.122,1.0,-0.219,65,-0.18735,h1,h5,-0.219,-0.027023899999999997
22,e22-h2-h4-g1,h2,h4,2026-05-28 09:01:53.572611+00:00,8.34,23.517,0.119,1.2,-0.217,66,-0.18605,h2,h4,-0.217,-0.029131199999999996
23,e23-h1-h5-g0,h1,h5,2026-05-28 09:02:26.824602+00:00,3.49,23.7485,0.116,0.63,-0.177,67,-0.1857,h1,h5,-0.177,-0.0226511
23,e23-h1-h4-g2,h1,h4,2026-05-28 09:02:26.825321+00:00,7.84,22.253,0.113,1.1,-0.198,68,-0.18635,h1,h4,-0.198,-0.0270548
