state,action_len,reward,target,baseline,old_q,new_q,action_trials,update
"('h5', 'h1', 'util1', 'active0', 'rtt0', 'loss1')",4,-0.187,-0.187,-0.19,-0.036,-0.069,6,50
"('h2', 'h4', 'util2', 'active1', 'rtt0', 'loss2')",3,-0.182,-0.182,-0.2,0.0,-0.04,2,51
"('h4', 'h2', 'util2', 'active1', 'rtt0', 'loss2')",3,-0.182,-0.182,-0.2,0.0,-0.04,2,52
"('h1', 'h4', 'util0', 'active0', 'rtt0', 'loss1')",3,-0.178,-0.178,-0.242,-0.038,-0.069,3,53
"('h4', 'h1', 'util0', 'active0', 'rtt0', 'loss1')",3,-0.178,-0.178,-0.242,-0.038,-0.069,3,54
"('h1', 'h4', 'util3', 'active1', 'rtt0', 'loss2')",3,-0.194,-0.194,-0.24,0.0,-0.043,2,55
"('h4', 'h1', 'util3', 'active1', 'rtt0', 'loss2')",3,-0.194,-0.194,-0.24,0.0,-0.043,2,56
"('h1', 'h4', 'util0', 'active0', 'rtt0', 'loss1')",4,-0.261,-0.261,-0.241,0.0,-0.057,1,57
"('h4', 'h1', 'util0', 'active0', 'rtt0', 'loss1')",4,-0.261,-0.261,-0.241,0.0,-0.057,1,58
"('h1', 'h5', 'util4', 'active1', 'rtt0', 'loss3')",3,-0.193,-0.193,-0.19,0.0,-0.043,1,59
"('h5', 'h1', 'util4', 'active1', 'rtt0', 'loss3')",3,-0.193,-0.193,-0.19,0.0,-0.043,1,60
"('h2', 'h4', 'util1', 'active0', 'rtt0', 'loss1')",3,-0.162,-0.162,-0.199,0.0,-0.036,4,61
"('h4', 'h2', 'util1', 'active0', 'rtt0', 'loss1')",3,-0.162,-0.162,-0.199,0.0,-0.036,4,62
"('h2', 'h4', 'util0', 'active0', 'rtt0', 'loss1')",3,-0.317,-0.317,-0.203,0.0,-0.07,2,63
"('h4', 'h2', 'util0', 'active0', 'rtt0', 'loss1')",3,-0.317,-0.317,-0.203,0.0,-0.07,2,64
"('h1', 'h5', 'util3', 'active1', 'rtt0', 'loss1')",3,-0.296,-0.296,-0.194,0.0,-0.065,1,65
"('h5', 'h1', 'util3', 'active1', 'rtt0', 'loss1')",3,-0.296,-0.296,-0.194,0.0,-0.065,1,66
"('h1', 'h4', 'util2', 'active1', 'rtt0', 'loss1')",3,-0.184,-0.184,-0.238,0.0,-0.041,1,67
"('h4', 'h1', 'util2', 'active1', 'rtt0', 'loss1')",3,-0.184,-0.184,-0.238,0.0,-0.041,1,68
"('h2', 'h4', 'util0', 'active1', 'rtt0', 'loss1')",3,-0.182,-0.182,-0.202,0.0,-0.04,2,69
"('h4', 'h2', 'util0', 'active1', 'rtt0', 'loss1')",3,-0.182,-0.182,-0.202,0.0,-0.04,2,70
"('h1', 'h5', 'util1', 'active0', 'rtt0', 'loss1')",4,-0.232,-0.232,-0.196,-0.06,-0.098,3,71
"('h5', 'h1', 'util1', 'active0', 'rtt0', 'loss1')",4,-0.232,-0.232,-0.196,-0.06,-0.098,3,72
"('h1', 'h4', 'util1', 'active0', 'rtt0', 'loss1')",4,-0.31,-0.31,-0.241,0.0,-0.068,3,73
"('h4', 'h1', 'util1', 'active0', 'rtt0', 'loss1')",4,-0.31,-0.31,-0.241,0.0,-0.068,3,74
"('h2', 'h4', 'util3', 'active1', 'rtt0', 'loss2')",3,-0.166,-0.166,-0.201,0.0,-0.037,1,75
"('h4', 'h2', 'util3', 'active1', 'rtt0', 'loss2')",3,-0.166,-0.166,-0.201,0.0,-0.037,1,76
"('h1', 'h5', 'util1', 'active0', 'rtt0', 'loss1')",3,-0.189,-0.189,-0.195,-0.06,-0.089,3,77
"('h5', 'h1', 'util1', 'active0', 'rtt0', 'loss1')",3,-0.189,-0.189,-0.195,-0.06,-0.089,3,78
"('h1', 'h5', 'util1', 'active0', 'rtt0', 'loss1')",4,-0.18,-0.18,-0.195,-0.069,-0.094,7,79
"('h5', 'h1', 'util1', 'active0', 'rtt0', 'loss1')",4,-0.18,-0.18,-0.195,-0.069,-0.094,7,80
"('h1', 'h4', 'util0', 'active0', 'rtt0', 'loss2')",3,-0.163,-0.163,-0.238,0.0,-0.036,3,81
"('h4', 'h1', 'util0', 'active0', 'rtt0', 'loss2')",3,-0.163,-0.163,-0.238,0.0,-0.036,3,82
