episode,throughput_mbps,rtt_ms,jitter_ms,loss_pct,absolute_reward,complete_flow_groups,throughput_mbps_avg10,throughput_mbps_avg25,rtt_ms_avg10,rtt_ms_avg25,jitter_ms_avg10,jitter_ms_avg25,loss_pct_avg10,loss_pct_avg25,absolute_reward_avg10,absolute_reward_avg25
1,10.98,81.72975,0.15000000000000002,0.10400000000000001,-0.026647849999999994,2,10.98,10.98,81.72975,81.72975,0.15000000000000002,0.15000000000000002,0.10400000000000001,0.10400000000000001,-0.026647849999999994,-0.026647849999999994
2,7.94,85.71050000000001,0.1675,0.13,-0.036234355555555556,2,9.46,9.46,83.720125,83.720125,0.15875,0.15875,0.117,0.117,-0.03144110277777777,-0.03144110277777777
3,16.299999999999997,85.41525,0.11349999999999999,0.52,-0.02316742777777777,2,11.74,11.74,84.28516666666667,84.28516666666667,0.1436666666666667,0.1436666666666667,0.25133333333333335,0.25133333333333335,-0.028683211111111107,-0.028683211111111107
4,15.7,89.01374999999999,0.0415,0.29,-0.022993861111111104,2,12.73,12.73,85.46731249999999,85.46731249999999,0.11812500000000001,0.11812500000000001,0.261,0.261,-0.027260873611111104,-0.027260873611111104
5,10.305,82.46625,0.111,0.095,-0.028337749999999995,2,12.245,12.245,84.86710000000001,84.86710000000001,0.1167,0.1167,0.2278,0.2278,-0.02747624888888888,-0.02747624888888888
6,7.58,82.07825,0.11449999999999999,0.12,-0.03454600555555556,2,11.4675,11.4675,84.40229166666667,84.40229166666667,0.11633333333333333,0.11633333333333333,0.20983333333333332,0.20983333333333332,-0.02865454166666666,-0.02865454166666666
7,11.72,79.9765,0.14100000000000001,0.0935,-0.02376695555555556,2,11.50357142857143,11.50357142857143,83.77003571428573,83.77003571428573,0.11985714285714286,0.11985714285714286,0.19321428571428573,0.19321428571428573,-0.027956315079365076,-0.027956315079365076
8,21.55,88.75800000000001,0.082,0.9199999999999999,-0.0194119111111111,2,12.759375,12.759375,84.39353125,84.39353125,0.115125,0.115125,0.2840625,0.2840625,-0.026888264583333328,-0.026888264583333328
9,15.899999999999999,89.79599999999999,0.1065,0.495,-0.026288766666666658,2,13.108333333333333,13.108333333333333,84.99380555555555,84.99380555555555,0.11416666666666668,0.11416666666666668,0.3075,0.3075,-0.026821653703703697,-0.026821653703703697
10,10.58,82.46925,0.1015,0.28500000000000003,-0.030549938888888885,2,12.855500000000001,12.855500000000001,84.74135,84.74135,0.1129,0.1129,0.30525,0.30525,-0.027194482222222215,-0.027194482222222215
11,16.465,85.82074999999999,0.067,0.06,-0.016004561111111103,2,13.404,13.183636363636362,85.15045,84.83947727272727,0.1046,0.10872727272727273,0.30084999999999995,0.28295454545454546,-0.02613015333333333,-0.026177216666666666
12,10.8,83.12525,0.066,0.06,-0.026973149999999994,2,13.690000000000001,12.985,84.891925,84.696625,0.09445,0.10516666666666667,0.29385,0.26437499999999997,-0.025204032777777774,-0.026243544444444437
13,16.95,84.87299999999999,0.144,0.4445,-0.02035663333333333,2,13.755,13.29,84.8377,84.71019230769231,0.0975,0.10815384615384617,0.2863,0.2782307692307692,-0.024922953333333327,-0.025790705128205124
14,11.850000000000001,79.91625,0.0545,0.06,-0.02267991666666666,2,13.37,13.187142857142858,83.92795,84.36776785714287,0.0988,0.10432142857142858,0.2633,0.2626428571428571,-0.024891558888888884,-0.025568505952380947
15,11.89,83.639,0.0665,0.085,-0.02523567777777777,2,13.5285,13.100666666666665,84.04522499999999,84.31918333333333,0.09435,0.10180000000000002,0.26230000000000003,0.2508,-0.02458135166666666,-0.025546317407407405
16,9.605,83.1185,0.0735,0.13,-0.030697155555555546,2,13.731,12.8821875,84.14925000000001,84.244140625,0.09025,0.10003125,0.2633,0.24325,-0.02419646666666666,-0.02586824479166666
17,20.85,87.4255,0.08399999999999999,0.865,-0.019348966666666672,2,14.644,13.350882352941177,84.89415,84.4312794117647,0.08455,0.09908823529411766,0.34045000000000003,0.2798235294117647,-0.023754667777777773,-0.02548475784313725
18,15.649999999999999,83.47325,0.08449999999999999,0.5700000000000001,-0.02410967222222222,2,14.053999999999998,13.478611111111112,84.365675,84.37805555555556,0.0848,0.09827777777777777,0.30545,0.29594444444444445,-0.024224443888888884,-0.02540836419753086
19,11.860000000000001,87.68475000000001,0.16649999999999998,0.415,-0.03297979444444444,2,13.65,13.39342105263158,84.15455,84.55209210526316,0.0908,0.10186842105263158,0.29745,0.3022105263157895,-0.024893546666666662,-0.025806860526315784
20,10.575,80.96075,0.10500000000000001,0.306,-0.029981450000000007,2,13.6495,13.252500000000001,84.00370000000001,84.372525,0.09115,0.102025,0.29955,0.3024,-0.02483669777777777,-0.026015589999999995
21,10.754999999999999,85.312,0.143,0.28500000000000003,-0.0319912,2,13.0785,13.133571428571429,83.95282499999999,84.4172619047619,0.09874999999999999,0.10397619047619047,0.32205000000000006,0.3015714285714286,-0.026435361666666664,-0.026300142857142852
22,11.85,80.74525,0.10350000000000001,0.365,-0.027899316666666667,2,13.1835,13.075227272727272,83.71482499999999,84.25035227272727,0.1025,0.10395454545454545,0.35255000000000003,0.3044545454545455,-0.02652797833333333,-0.02637283257575757
23,7.875,87.1925,0.1415,0.10500000000000001,-0.036815,2,12.276,12.849130434782607,83.946775,84.37827173913043,0.10225,0.10558695652173913,0.3186,0.29578260869565215,-0.028173814999999998,-0.02682683985507246
24,14.780000000000001,86.38024999999999,0.132,0.44,-0.025979705555555545,2,12.568999999999999,12.929583333333333,84.593175,84.4616875,0.11000000000000001,0.1066875,0.3566,0.3017916666666667,-0.028503793888888886,-0.026791542592592588
25,7.825,83.85249999999999,0.1215,0.1075,-0.03489961111111111,2,12.162500000000001,12.7254,84.614525,84.43732,0.1155,0.10728,0.35885,0.29402,-0.02947018722222222,-0.027115865333333333
26,7.725,86.42224999999999,0.176,0.115,-0.03693968333333332,2,11.9745,12.5952,84.94489999999999,84.62502,0.12575,0.10832000000000001,0.35735,0.29446,-0.03009444,-0.027527538666666664
27,15.065,93.09375,0.137,0.425,-0.02916447222222222,2,11.395999999999999,12.8802,85.511725,84.92035,0.13105,0.10710000000000001,0.31334999999999996,0.30626000000000003,-0.031075990555555554,-0.027244743333333328
28,20.75,88.94425,0.089,0.875,-0.020647438888888883,2,11.906,13.058200000000001,86.058825,85.06151,0.1315,0.10612,0.34385000000000004,0.32045999999999997,-0.03072976722222222,-0.027143943777777776
29,14.55,83.95824999999999,0.073,0.05,-0.01901061666666666,2,12.175,13.0122,85.686175,84.85929,0.12214999999999998,0.10737999999999999,0.30735,0.31086,-0.029332849444444437,-0.026984613999999997
30,10.899999999999999,80.381,0.064,0.065,-0.025173377777777776,2,12.2075,13.036,85.6282,84.77588,0.11804999999999999,0.10550000000000001,0.28325,0.30966,-0.028852042222222218,-0.026858039111111107
31,11.9,82.28349999999999,0.1225,0.055,-0.02411815555555554,2,12.322,13.208799999999998,85.32535,84.78408999999999,0.11600000000000002,0.10582000000000001,0.26025,0.30706,-0.028064737777777776,-0.02644092511111111
32,18.165,84.509,0.10300000000000001,0.649,-0.020382733333333333,2,12.9535,13.466600000000001,85.70172499999998,84.96539000000001,0.11595,0.1043,0.28865,0.32927999999999996,-0.027313079444444437,-0.02630555622222222
33,14.899999999999999,83.91225,0.0815,0.615,-0.026705738888888886,2,13.656,13.2006,85.3737,84.77156,0.10994999999999999,0.10428000000000001,0.33965,0.31708000000000003,-0.026302153333333328,-0.026597309333333326
34,8.28,81.747,0.1285,0.0955,-0.0324662,2,13.006,12.8958,84.910375,84.44959999999999,0.1096,0.10516,0.3052,0.3011,-0.026950802777777772,-0.026844406666666664
35,18.759999999999998,94.58825,0.1305,0.6970000000000001,-0.02591056111111111,2,14.0995,13.222999999999999,85.98395,84.93436,0.1105,0.10632,0.36415,0.31758,-0.02605189777777777,-0.02665883155555555
36,10.295,82.82249999999999,0.139,0.108,-0.028852722222222214,2,14.3565,12.9762,85.623975,84.81442999999999,0.1068,0.1092,0.36345,0.3195,-0.025243201666666666,-0.027172757999999995
37,11.805,83.87925,0.122,0.365,-0.029935216666666667,2,14.0305,13.0164,84.702525,84.84458999999998,0.10529999999999999,0.11144,0.35745000000000005,0.3317,-0.025320276111111106,-0.02729124066666666
38,13.184999999999999,83.02625,0.161,0.115,-0.02272375,2,13.274000000000001,12.865800000000002,84.11072499999999,84.77072,0.1125,0.11212,0.28145000000000003,0.31852,-0.02552790722222222,-0.02738592533333333
39,18.02,88.39375000000001,0.133,0.744,-0.024550805555555555,2,13.621,13.1126,84.55427499999999,85.10982,0.11850000000000001,0.11526,0.35085,0.34588,-0.026081926111111108,-0.027460760888888887
40,20.299999999999997,89.5305,0.0865,0.885,-0.02214168888888889,2,14.560999999999998,13.449000000000002,85.469225,85.34548000000001,0.12075,0.11606,0.43285,0.37788,-0.02577875722222222,-0.02733700133333333
41,11.47,83.787,0.1225,0.33999999999999997,-0.030250811111111102,2,14.517999999999997,13.523599999999998,85.619575,85.37222,0.12075,0.11802000000000001,0.46135000000000004,0.38628,-0.026392022777777774,-0.02731914755555555
42,12.85,98.42825,0.10850000000000001,0.48,-0.038026894444444445,2,13.986500000000001,13.203600000000002,87.01150000000001,85.81233,0.1213,0.11900000000000001,0.44444999999999996,0.37088,-0.028156438888888885,-0.028066264666666667
43,12.375,81.608,0.1345,0.1015,-0.023390799999999986,2,13.733999999999998,13.0726,86.781075,85.73772,0.1266,0.121,0.3931,0.35214,-0.027824944999999997,-0.028037509777777775
44,14.350000000000001,84.38874999999999,0.088,0.575,-0.0276333611111111,2,14.341,13.172199999999998,87.04525,85.60588,0.12255,0.11786000000000002,0.44105,0.35853999999999997,-0.027341661111111103,-0.027823652444444444
45,15.899999999999999,82.63225,0.0,0.0,-0.014246016666666663,2,14.055000000000001,13.3852,85.84965,85.67273999999999,0.1095,0.11366,0.37135,0.34630000000000005,-0.026175206666666662,-0.027194235111111107
46,14.3,84.27,0.0405,0.26,-0.022805722222222217,2,14.4555,13.527000000000001,85.9944,85.63105999999999,0.09964999999999999,0.10955999999999999,0.38655,0.3453,-0.025570506666666666,-0.026826815999999996
47,17.5,83.52825,0.11,0.45599999999999996,-0.018398061111111107,2,15.025,13.753000000000002,85.95930000000001,85.74238,0.09845,0.10982000000000001,0.39564999999999995,0.34894,-0.024416791111111107,-0.026446765777777777
48,11.23,81.43375,0.11000000000000001,0.365,-0.02970969444444444,2,14.829500000000001,13.8872,85.80005000000001,85.51203,0.09335,0.10856,0.42065,0.35934,-0.025115385555555553,-0.02616255355555555
49,11.71,91.4485,0.1175,0.366,-0.03468937777777777,2,14.1985,13.7644,86.105525,85.71476000000001,0.09179999999999999,0.10798,0.38285,0.35638,-0.026129242777777773,-0.026510940444444443
50,13.5,83.28399999999999,0.082,0.525,-0.02809139999999999,2,13.5185,13.9914,85.480875,85.69202000000001,0.09135000000000001,0.10640000000000001,0.34685,0.37308,-0.026724213888888883,-0.026238611999999994
51,17.7,86.9225,0.11499999999999999,0.5955,-0.02209766666666666,2,14.141499999999999,14.3904,85.794425,85.71203,0.0906,0.10396,0.37239999999999995,0.3923,-0.02590889944444444,-0.02564493133333333
52,17.65,91.60300000000001,0.084,0.046,-0.016681577777777772,2,14.621500000000001,14.493799999999998,85.11189999999999,85.6524,0.08815,0.10183999999999999,0.32899999999999996,0.37714000000000003,-0.02377436777777777,-0.02514561555555555
53,18.53,88.56075000000001,0.1245,0.75,-0.023582172222222225,2,15.237,14.405,85.807175,85.63706,0.08714999999999999,0.10326,0.39385000000000003,0.3721400000000001,-0.023793504999999996,-0.025263004888888885
54,16.41,90.8765,0.123,0.6050000000000001,-0.027503233333333325,2,15.443000000000001,14.479399999999998,86.45595,85.91378999999999,0.09065000000000001,0.10525999999999999,0.39685000000000004,0.39433999999999997,-0.02378049222222222,-0.02560270955555555
55,19.9,90.8415,0.0875,0.7250000000000001,-0.021420177777777757,2,15.843,14.839400000000001,87.276875,86.33220999999999,0.0994,0.10619999999999999,0.46935000000000004,0.42074000000000006,-0.024497908333333325,-0.02545258155555555
56,18.455,86.22025000000001,0.0985,0.644,-0.020676538888888887,2,16.258499999999998,15.101600000000001,87.47189999999999,86.48968,0.1052,0.10523999999999999,0.50775,0.4443000000000001,-0.024284989999999996,-0.025314916888888882
57,17.1,87.37275,0.1275,0.5449999999999999,-0.02298115,2,16.2185,15.059000000000001,87.85634999999999,86.60423,0.10694999999999999,0.10622,0.51665,0.44014000000000003,-0.024743298888888883,-0.02541885355555555
58,15.4,86.88125,0.0415,0.345,-0.023206027777777777,2,16.6355,15.079,88.4011,86.72299000000001,0.1001,0.10461999999999999,0.51465,0.42934,-0.024092932222222217,-0.025278865111111107
59,13.7,83.58675,0.0715,0.065,-0.02089710555555555,2,16.8345,15.2958,87.614925,86.79657999999999,0.0955,0.10234,0.48455000000000004,0.42812000000000006,-0.022713704999999994,-0.02481610133333333
60,10.735,86.72274999999999,0.094,0.314,-0.03317009444444444,2,16.558,14.9748,87.9588,86.48196,0.0967,0.10088000000000001,0.4634500000000001,0.4128,-0.023221574444444438,-0.025106482666666662
61,13.7,80.89500000000001,0.11699999999999999,0.34500000000000003,-0.023618555555555566,2,16.158,15.110999999999999,87.35605,86.40485999999999,0.0969,0.1,0.4384,0.42228,-0.02337366333333333,-0.024897115999999997
62,17.4,80.6175,0.1005,0.5549999999999999,-0.018330333333333323,2,16.133,15.334799999999998,86.25750000000001,86.27439,0.09855,0.09913999999999999,0.48929999999999996,0.42988,-0.023538538888888884,-0.024432920666666663
63,15.15,80.475,0.11050000000000001,0.355,-0.020274833333333332,2,15.794999999999998,15.4134,85.448925,86.17234,0.09714999999999999,0.09712,0.4497999999999999,0.43948,-0.02320780499999999,-0.024334963999999994
64,11.18,83.93225000000001,0.1325,0.125,-0.027787405555555558,2,15.272,15.139800000000001,84.7545,85.99387999999999,0.0981,0.09709999999999999,0.4018,0.41472000000000003,-0.023236222222222217,-0.024464427999999993
