state,action_len,reward,target,baseline,old_q,new_q,action_trials,update
"('h4', 'h9', 'util3', 'active0', 'rtt4', 'loss0')",3,-0.641,-0.641,-0.646,-0.145,-0.254,2,51
"('h9', 'h4', 'util3', 'active0', 'rtt4', 'loss0')",3,-0.641,-0.641,-0.646,-0.145,-0.254,2,52
"('h4', 'h9', 'util3', 'active0', 'rtt4', 'loss0')",3,-0.65,-0.65,-0.646,-0.14,-0.252,2,53
"('h9', 'h4', 'util3', 'active0', 'rtt4', 'loss0')",3,-0.65,-0.65,-0.646,-0.14,-0.252,2,54
"('h2', 'h11', 'util3', 'active1', 'rtt4', 'loss0')",3,-0.661,-0.661,-0.191,0.0,-0.145,1,55
"('h11', 'h2', 'util3', 'active1', 'rtt4', 'loss0')",3,-0.661,-0.661,-0.191,0.0,-0.145,1,56
"('h1', 'h12', 'util3', 'active1', 'rtt4', 'loss0')",3,-0.653,-0.653,-0.23,0.0,-0.144,1,57
"('h12', 'h1', 'util3', 'active1', 'rtt4', 'loss0')",3,-0.653,-0.653,-0.23,0.0,-0.144,1,58
"('h2', 'h11', 'util3', 'active1', 'rtt4', 'loss0')",2,-0.653,-0.653,-0.228,0.0,-0.144,2,59
"('h11', 'h2', 'util3', 'active1', 'rtt4', 'loss0')",2,-0.653,-0.653,-0.228,0.0,-0.144,2,60
