state,action_len,reward,target,baseline,old_q,new_q,action_trials,update
"('h1', 'h4', 'util1', 'active0', 'rtt0', 'loss0')",3,-0.108,0.056,-0.129,0.009,0.02,5,51
"('h4', 'h1', 'util1', 'active0', 'rtt0', 'loss0')",3,-0.108,0.056,-0.129,0.009,0.02,5,52
"('h1', 'h5', 'util2', 'active1', 'rtt0', 'loss0')",4,-0.114,0.005,-0.116,0.0,0.001,1,53
"('h5', 'h1', 'util2', 'active1', 'rtt0', 'loss0')",4,-0.114,0.005,-0.116,0.0,0.001,1,54
"('h2', 'h4', 'util3', 'active1', 'rtt0', 'loss0')",3,-0.123,-0.123,-0.129,-0.03,-0.05,2,55
"('h4', 'h2', 'util3', 'active1', 'rtt0', 'loss0')",3,-0.123,-0.123,-0.129,-0.03,-0.05,2,56
"('h1', 'h4', 'util1', 'active0', 'rtt0', 'loss0')",3,-0.098,0.08,-0.128,0.02,0.033,7,57
"('h4', 'h1', 'util1', 'active0', 'rtt0', 'loss0')",3,-0.098,0.08,-0.128,0.02,0.033,7,58
"('h1', 'h5', 'util1', 'active1', 'rtt0', 'loss0')",4,-0.136,-0.136,-0.117,0.0,-0.03,1,59
"('h5', 'h1', 'util1', 'active1', 'rtt0', 'loss0')",4,-0.136,-0.136,-0.117,0.0,-0.03,1,60
"('h2', 'h4', 'util1', 'active0', 'rtt0', 'loss0')",3,-0.092,0.092,-0.128,0.021,0.036,3,61
"('h4', 'h2', 'util1', 'active0', 'rtt0', 'loss0')",3,-0.092,0.092,-0.128,0.021,0.036,3,62
"('h1', 'h5', 'util2', 'active0', 'rtt0', 'loss0')",4,-0.113,0.009,-0.117,0.0,0.002,1,63
"('h5', 'h1', 'util2', 'active0', 'rtt0', 'loss0')",4,-0.113,0.009,-0.117,0.0,0.002,1,64
"('h1', 'h4', 'util1', 'active0', 'rtt0', 'loss0')",3,-0.132,-0.132,-0.128,-0.029,-0.051,6,65
"('h4', 'h1', 'util1', 'active0', 'rtt0', 'loss0')",3,-0.132,-0.132,-0.128,-0.029,-0.051,6,66
"('h1', 'h5', 'util3', 'active1', 'rtt0', 'loss0')",3,-0.127,-0.127,-0.117,0.0,-0.028,3,67
"('h5', 'h1', 'util3', 'active1', 'rtt0', 'loss0')",3,-0.127,-0.127,-0.117,0.0,-0.028,3,68
"('h2', 'h4', 'util1', 'active1', 'rtt0', 'loss0')",3,-0.096,0.079,-0.126,0.024,0.036,6,69
"('h4', 'h2', 'util1', 'active1', 'rtt0', 'loss0')",3,-0.096,0.079,-0.126,0.024,0.036,6,70
"('h1', 'h4', 'util2', 'active0', 'rtt0', 'loss0')",3,-0.126,-0.126,-0.128,0.0,-0.028,3,71
"('h4', 'h1', 'util2', 'active0', 'rtt0', 'loss0')",3,-0.126,-0.126,-0.128,0.0,-0.028,3,72
"('h2', 'h4', 'util3', 'active1', 'rtt0', 'loss0')",3,-0.094,0.081,-0.125,0.0,0.018,1,73
"('h4', 'h2', 'util3', 'active1', 'rtt0', 'loss0')",3,-0.094,0.081,-0.125,0.0,0.018,1,74
"('h1', 'h5', 'util1', 'active0', 'rtt0', 'loss0')",4,-0.106,0.027,-0.117,0.002,0.007,6,75
"('h5', 'h1', 'util1', 'active0', 'rtt0', 'loss0')",4,-0.106,0.027,-0.117,0.002,0.007,6,76
"('h1', 'h4', 'util1', 'active1', 'rtt0', 'loss0')",3,-0.094,0.086,-0.127,0.0,0.019,1,77
"('h4', 'h1', 'util1', 'active1', 'rtt0', 'loss0')",3,-0.094,0.086,-0.127,0.0,0.019,1,78
"('h1', 'h5', 'util0', 'active1', 'rtt0', 'loss0')",4,-0.123,-0.123,-0.117,0.0,-0.027,2,79
"('h5', 'h1', 'util0', 'active1', 'rtt0', 'loss0')",4,-0.123,-0.123,-0.117,0.0,-0.027,2,80
"('h1', 'h4', 'util0', 'active0', 'rtt0', 'loss0')",3,-0.126,-0.126,-0.127,0.0,-0.028,2,81
"('h4', 'h1', 'util0', 'active0', 'rtt0', 'loss0')",3,-0.126,-0.126,-0.127,0.0,-0.028,2,82
"('h2', 'h4', 'util1', 'active0', 'rtt0', 'loss0')",3,-0.105,0.05,-0.124,0.036,0.039,5,83
