episode,flow_id,src_x,dst_x,timestamp,throughput_mbps,rtt_ms,jitter_ms,loss_pct,weighted_reward,decision,reward_rolling_mean,src_y,dst_y,controller_weighted_reward,computed_weighted_reward
10,e10-h1-h4-g2,h1,h4,2026-05-28 00:06:39.538067+00:00,3.62,25.4755,0.0,0.0,-0.14,30,-0.27405,h1,h4,-0.14,-0.0251135
11,e11-h2-h4-g1,h2,h4,2026-05-28 00:07:13.552347+00:00,4.69,23.308500000000002,0.122,1.1,-0.175,31,-0.26070000000000004,h2,h4,-0.175,-0.05608350000000001
11,e11-h1-h5-g0,h1,h5,2026-05-28 00:07:13.552616+00:00,3.75,29.614,0.133,0.64,-0.192,32,-0.26115,h1,h5,-0.192,-0.048705
11,e11-h1-h4-g2,h1,h4,2026-05-28 00:07:13.552921+00:00,6.8,24.0345,0.117,0.89,-0.175,33,-0.24775,h1,h4,-0.175,-0.0502885
12,e12-h2-h4-g1,h2,h4,2026-05-28 00:07:46.731243+00:00,3.55,21.8345,0.12,0.69,-0.149,34,-0.23374999999999999,h2,h4,-0.149,-0.0424195
12,e12-h1-h5-g0,h1,h5,2026-05-28 00:07:46.731515+00:00,5.73,21.795,0.115,0.93,-0.171,35,-0.2192,h1,h5,-0.171,-0.049352
12,e12-h1-h4-g2,h1,h4,2026-05-28 00:07:46.732077+00:00,3.41,25.818,0.121,0.53,-0.165,36,-0.2177,h1,h4,-0.165,-0.041619
13,e13-h1-h5-g0,h1,h5,2026-05-28 00:08:17.946150+00:00,3.46,28.014499999999998,0.124,0.63,-0.164,37,-0.21764999999999998,h1,h5,-0.164,-0.0468165
13,e13-h2-h4-g1,h2,h4,2026-05-28 00:08:18.709715+00:00,3.49,22.1255,0.121,0.72,-0.146,38,-0.21680000000000002,h2,h4,-0.146,-0.0436185
13,e13-h1-h4-g2,h1,h4,2026-05-28 00:08:18.710282+00:00,3.79,26.299500000000002,0.122,0.9,-0.168,39,-0.2172,h1,h4,-0.168,-0.0531645
14,e14-h1-h5-g0,h1,h5,2026-05-28 00:08:50.317893+00:00,3.54,149.251,0.127,0.66,-0.517,40,-0.23435,h1,h5,-0.517,-0.13970000000000002
