state,action_len,reward,target,baseline,old_q,new_q,action_trials,update
"('h4', 'h1', 'util1', 'active0', 'rtt0', 'loss1')",4,-0.35,-0.35,-0.295,0.0,-0.098,1,50
"('h2', 'h4', 'util0', 'active1', 'rtt0', 'loss2')",3,-0.332,-0.332,-0.274,0.0,-0.093,1,51
"('h4', 'h2', 'util0', 'active1', 'rtt0', 'loss2')",3,-0.332,-0.332,-0.274,0.0,-0.093,1,52
"('h2', 'h4', 'util0', 'active0', 'rtt0', 'loss1')",4,-0.491,-0.491,-0.287,0.0,-0.137,1,53
"('h4', 'h2', 'util0', 'active0', 'rtt0', 'loss1')",4,-0.491,-0.491,-0.287,0.0,-0.137,1,54
"('h1', 'h5', 'util2', 'active1', 'rtt0', 'loss1')",4,-0.325,-0.325,-0.195,0.0,-0.091,1,55
"('h5', 'h1', 'util2', 'active1', 'rtt0', 'loss1')",4,-0.325,-0.325,-0.195,0.0,-0.091,1,56
"('h1', 'h5', 'util2', 'active0', 'rtt0', 'loss6')",3,-0.176,-0.176,-0.194,0.0,-0.049,1,57
"('h5', 'h1', 'util2', 'active0', 'rtt0', 'loss6')",3,-0.176,-0.176,-0.194,0.0,-0.049,1,58
"('h2', 'h4', 'util0', 'active0', 'rtt0', 'loss2')",3,-0.169,-0.169,-0.28,0.0,-0.047,1,59
"('h4', 'h2', 'util0', 'active0', 'rtt0', 'loss2')",3,-0.169,-0.169,-0.28,0.0,-0.047,1,60
"('h1', 'h4', 'util0', 'active1', 'rtt0', 'loss2')",4,-0.183,-0.183,-0.289,0.0,-0.051,1,61
"('h4', 'h1', 'util0', 'active1', 'rtt0', 'loss2')",4,-0.183,-0.183,-0.289,0.0,-0.051,1,62
"('h1', 'h5', 'util1', 'active0', 'rtt0', 'loss2')",4,-0.33,-0.33,-0.202,0.0,-0.092,1,63
"('h5', 'h1', 'util1', 'active0', 'rtt0', 'loss2')",4,-0.33,-0.33,-0.202,0.0,-0.092,1,64
"('h1', 'h4', 'util0', 'active1', 'rtt0', 'loss1')",4,-0.316,-0.316,-0.29,0.0,-0.089,1,65
"('h4', 'h1', 'util0', 'active1', 'rtt0', 'loss1')",4,-0.316,-0.316,-0.29,0.0,-0.089,1,66
"('h1', 'h5', 'util0', 'active0', 'rtt2', 'loss1')",3,-0.175,-0.175,-0.201,0.0,-0.049,1,67
"('h5', 'h1', 'util0', 'active0', 'rtt2', 'loss1')",3,-0.175,-0.175,-0.201,0.0,-0.049,1,68
"('h1', 'h4', 'util1', 'active1', 'rtt1', 'loss2')",3,-0.183,-0.183,-0.284,0.0,-0.051,1,69
"('h4', 'h1', 'util1', 'active1', 'rtt1', 'loss2')",3,-0.183,-0.183,-0.284,0.0,-0.051,1,70
"('h2', 'h4', 'util0', 'active0', 'rtt1', 'loss1')",3,-0.16,-0.16,-0.272,0.0,-0.045,1,71
"('h4', 'h2', 'util0', 'active0', 'rtt1', 'loss1')",3,-0.16,-0.16,-0.272,0.0,-0.045,1,72
"('h1', 'h5', 'util3', 'active1', 'rtt0', 'loss2')",4,-0.365,-0.365,-0.211,0.0,-0.102,1,73
"('h5', 'h1', 'util3', 'active1', 'rtt0', 'loss2')",4,-0.365,-0.365,-0.211,0.0,-0.102,1,74
"('h2', 'h4', 'util1', 'active0', 'rtt0', 'loss1')",3,-0.348,-0.348,-0.277,0.0,-0.097,3,75
"('h4', 'h2', 'util1', 'active0', 'rtt0', 'loss1')",3,-0.348,-0.348,-0.277,0.0,-0.097,2,76
"('h1', 'h4', 'util0', 'active1', 'rtt0', 'loss1')",3,-0.162,-0.162,-0.277,0.0,-0.045,1,77
"('h4', 'h1', 'util0', 'active1', 'rtt0', 'loss1')",3,-0.162,-0.162,-0.277,0.0,-0.045,1,78
"('h1', 'h5', 'util0', 'active0', 'rtt0', 'loss1')",4,-0.149,-0.149,-0.207,0.0,-0.042,2,79
"('h5', 'h1', 'util0', 'active0', 'rtt0', 'loss1')",4,-0.149,-0.149,-0.207,0.0,-0.042,2,80
"('h2', 'h4', 'util0', 'active1', 'rtt0', 'loss1')",3,-0.171,-0.171,-0.271,0.0,-0.048,2,81
"('h4', 'h2', 'util0', 'active1', 'rtt0', 'loss1')",3,-0.171,-0.171,-0.271,0.0,-0.048,3,82
"('h1', 'h4', 'util0', 'active0', 'rtt2', 'loss1')",4,-0.277,-0.277,-0.277,0.0,-0.078,1,83
"('h4', 'h1', 'util0', 'active0', 'rtt2', 'loss1')",4,-0.277,-0.277,-0.277,0.0,-0.078,1,84
"('h1', 'h4', 'util0', 'active1', 'rtt1', 'loss1')",3,-0.159,-0.159,-0.27,0.0,-0.045,1,85
"('h4', 'h1', 'util0', 'active1', 'rtt1', 'loss1')",3,-0.159,-0.159,-0.27,0.0,-0.045,1,86
"('h2', 'h4', 'util0', 'active0', 'rtt0', 'loss2')",3,-0.173,-0.173,-0.265,-0.047,-0.083,2,87
"('h4', 'h2', 'util0', 'active0', 'rtt0', 'loss2')",3,-0.173,-0.173,-0.265,-0.047,-0.083,2,88
"('h1', 'h4', 'util1', 'active0', 'rtt0', 'loss1')",3,-0.169,-0.169,-0.264,0.0,-0.047,1,89
"('h4', 'h1', 'util1', 'active0', 'rtt0', 'loss1')",3,-0.169,-0.169,-0.264,0.0,-0.047,1,90
"('h2', 'h4', 'util1', 'active0', 'rtt0', 'loss1')",3,-0.335,-0.335,-0.269,0.0,-0.094,2,91
"('h4', 'h2', 'util1', 'active0', 'rtt0', 'loss1')",3,-0.335,-0.335,-0.269,0.0,-0.094,2,92
"('h1', 'h5', 'util2', 'active1', 'rtt1', 'loss2')",3,-0.344,-0.344,-0.215,0.0,-0.096,1,93
"('h5', 'h1', 'util2', 'active1', 'rtt1', 'loss2')",3,-0.344,-0.344,-0.215,0.0,-0.096,1,94
"('h1', 'h5', 'util1', 'active1', 'rtt0', 'loss1')",4,-0.173,-0.173,-0.213,0.0,-0.049,2,95
"('h5', 'h1', 'util1', 'active1', 'rtt0', 'loss1')",4,-0.173,-0.173,-0.213,0.0,-0.049,1,96
"('h1', 'h5', 'util0', 'active0', 'rtt0', 'loss1')",4,-0.33,-0.33,-0.22,0.0,-0.092,2,97
"('h5', 'h1', 'util0', 'active0', 'rtt0', 'loss1')",4,-0.33,-0.33,-0.22,0.0,-0.092,2,98
"('h2', 'h4', 'util0', 'active1', 'rtt0', 'loss1')",3,-0.184,-0.184,-0.264,0.0,-0.051,1,99
"('h4', 'h2', 'util0', 'active1', 'rtt0', 'loss1')",3,-0.184,-0.184,-0.264,0.0,-0.051,1,100
"('h1', 'h4', 'util0', 'active0', 'rtt0', 'loss1')",4,-0.457,-0.457,-0.275,0.0,-0.128,1,101
"('h4', 'h1', 'util0', 'active0', 'rtt0', 'loss1')",4,-0.457,-0.457,-0.275,0.0,-0.128,1,102
"('h1', 'h4', 'util0', 'active0', 'rtt1', 'loss2')",3,-0.165,-0.165,-0.269,0.0,-0.046,1,103
"('h4', 'h1', 'util0', 'active0', 'rtt1', 'loss2')",3,-0.165,-0.165,-0.269,0.0,-0.046,1,104
"('h2', 'h4', 'util0', 'active1', 'rtt0', 'loss1')",3,-0.164,-0.164,-0.258,-0.051,-0.083,2,105
"('h4', 'h2', 'util0', 'active1', 'rtt0', 'loss1')",3,-0.164,-0.164,-0.258,-0.051,-0.083,2,106
