episode,throughput_mbps,rtt_ms,jitter_ms,loss_pct,weighted_reward,throughput_mbps_rolling_mean,rtt_ms_rolling_mean,jitter_ms_rolling_mean,loss_pct_rolling_mean,weighted_reward_rolling_mean,reward_rolling_mean
1,84.475,299.190375,0.35225,0.047200000000000006,-0.2165,84.475,299.190375,0.35225,0.047200000000000006,-0.2165,-0.2165
2,84.275,302.330625,0.35425,0.018375,-0.20925,84.375,300.7605,0.35325,0.032787500000000004,-0.21287499999999998,-0.21287499999999998
3,84.475,304.725625,0.35375,0.010074999999999999,-0.2075,84.40833333333333,302.0822083333333,0.35341666666666666,0.02521666666666667,-0.21108333333333332,-0.21108333333333332
4,83.95,317.62712500000004,0.273,0.01355,-0.207,84.29375,305.9684375,0.3333125,0.0223,-0.21006249999999999,-0.21006249999999999
5,84.325,312.52537500000005,0.35225,0.07832499999999999,-0.22375,84.3,307.279825,0.3371,0.03350499999999999,-0.21280000000000002,-0.21280000000000002
6,84.35,287.55537499999997,0.35075,0.005075,-0.2065,84.30833333333334,303.99241666666666,0.339375,0.028766666666666666,-0.21175,-0.21175
7,84.675,259.63012499999996,0.33925,0.0043,-0.206,84.36071428571428,297.6549464285714,0.33935714285714286,0.025271428571428573,-0.2109285714285714,-0.2109285714285714
8,84.42500000000001,294.549375,0.35075,0.00545,-0.2065,84.36875,297.26675,0.34078125000000004,0.022793749999999998,-0.21037499999999998,-0.21037499999999998
9,84.6,282.87699999999995,0.344,0.01975,-0.20975,84.39444444444445,295.6678888888889,0.3411388888888889,0.022455555555555555,-0.21030555555555555,-0.21030555555555555
10,84.525,303.719,0.35225,0.020625,-0.21,84.4075,296.473,0.34225,0.0222725,-0.210275,-0.210275
11,84.325,297.778125,0.35624999999999996,0.009625,-0.20725,84.39999999999999,296.5916477272727,0.34352272727272726,0.021122727272727272,-0.21,-0.21
12,84.075,346.601625,0.36524999999999996,0.00505,-0.2065,84.37291666666667,300.7591458333333,0.3453333333333333,0.019783333333333333,-0.2097083333333333,-0.2097083333333333
13,84.325,273.808875,0.34725,0.008225,-0.207,84.36923076923077,298.68604807692304,0.3454807692307692,0.018894230769230767,-0.2095,-0.2095
14,84.65,315.8715,0.34850000000000003,0.06695000000000001,-0.221,84.38928571428572,299.91358035714285,0.3456964285714286,0.022326785714285712,-0.21032142857142855,-0.21032142857142855
15,84.25,294.919125,0.35475,0.007125,-0.207,84.38000000000001,299.5806166666667,0.3463,0.021313333333333333,-0.2101,-0.2101
16,83.85,303.917625,0.365,0.005975,-0.20675,84.346875,299.8516796875,0.34746875,0.0203546875,-0.209890625,-0.209890625
17,84.45,287.404375,0.35,0.024974999999999997,-0.211,84.3529411764706,299.1194852941176,0.3476176470588235,0.020626470588235295,-0.20995588235294116,-0.20995588235294116
18,84.6,262.65274999999997,0.34550000000000003,0.00775,-0.20725,84.36666666666666,297.09355555555555,0.3475,0.019911111111111112,-0.20980555555555555,-0.20980555555555555
19,83.775,318.62850000000003,0.3715,0.00815,-0.20725,84.33552631578948,298.2269736842105,0.34876315789473683,0.019292105263157895,-0.20967105263157892,-0.20967105263157892
20,84.2,321.3375,0.3595,0.0086,-0.2075,84.32875,299.3825,0.3493,0.0187575,-0.2095625,-0.2095625
21,84.175,282.49175,0.35425,0.0034999999999999996,-0.20625,84.31375,298.54756875,0.34940000000000004,0.016572499999999997,-0.20905,-0.20905
22,84.2,314.80625,0.35825,0.0039,-0.2065,84.31,299.17135,0.3496,0.01584875,-0.2089125,-0.2089125
23,83.85,303.927,0.36624999999999996,0.0047,-0.2065,84.27875,299.13141875,0.350225,0.01558,-0.2088625,-0.2088625
24,84.475,298.30537499999997,0.35025,0.00315,-0.206,84.305,298.16533125,0.3540875,0.01506,-0.20881249999999998,-0.20881249999999998
25,84.5,297.71524999999997,0.35075,0.008924999999999999,-0.20725,84.31375,297.424825,0.35401249999999995,0.011590000000000001,-0.2079875,-0.2079875
26,84.375,302.4755,0.356,0.008199999999999999,-0.20725,84.31500000000001,298.17083125,0.354275,0.01174625,-0.208025,-0.208025
27,84.425,295.6155,0.35075,0.006625,-0.207,84.3025,299.97009999999995,0.35485,0.0118625,-0.20807499999999995,-0.20807499999999995
28,84.55,314.37750000000005,0.34925,0.00625,-0.2065,84.30875,300.96150625,0.35477499999999995,0.0119025,-0.208075,-0.208075
29,84.2,336.095375,0.36075,0.0121,-0.20825,84.28875000000001,303.62242499999996,0.3556125,0.011519999999999999,-0.20800000000000002,-0.20800000000000002
30,84.15,303.65375,0.357,0.004675,-0.20625,84.27,303.6191625,0.35585,0.0107225,-0.2078125,-0.2078125
31,84.675,257.625375,0.33875,0.005075,-0.20625,84.2875,301.611525,0.35497500000000004,0.010495,-0.2077625,-0.2077625
32,84.075,312.005625,0.35925,0.005075,-0.20675,84.2875,299.881725,0.35467499999999996,0.01049625,-0.207775,-0.207775
33,84.15,310.417125,0.3585,0.023425,-0.211,84.27875,301.7121375,0.3552375,0.011256249999999999,-0.20797499999999997,-0.20797499999999997
34,84.525,308.538,0.34825,0.07455,-0.22225,84.27250000000001,301.34546250000005,0.355225,0.01163625,-0.20803749999999996,-0.20803749999999996
35,84.3,290.447875,0.352,0.0046749999999999995,-0.2065,84.275,301.1219,0.3550875,0.01151375,-0.2080125,-0.2080125
36,83.95,311.086,0.36525,0.005825,-0.20675,84.28,301.48031875000004,0.3551,0.011506249999999999,-0.2080125,-0.2080125
37,83.925,333.559625,0.36824999999999997,0.006625,-0.207,84.25375,303.78808125,0.3560125,0.01058875,-0.2078125,-0.2078125
38,84.375,273.609375,0.34975,0.009075,-0.2075,84.2425,304.3359125,0.356225,0.010655000000000001,-0.20782499999999998,-0.20782499999999998
39,84.05,345.9,0.365,0.00885,-0.20725,84.25625,305.6994875,0.3559,0.01069,-0.207825,-0.207825
40,84.7,286.0685,0.34325,0.0481,-0.2165,84.28125,303.9360375,0.3550875,0.012665,-0.208275,-0.208275
41,84.025,295.77774999999997,0.36025,0.004675,-0.20625,84.27374999999999,304.6003375,0.35538749999999997,0.01272375,-0.208275,-0.208275
42,84.3,321.8375,0.35724999999999996,0.00505,-0.20675,84.27875,304.95189999999997,0.3553375,0.01278125,-0.20828750000000001,-0.20828750000000001
43,84.475,293.40387499999997,0.351,0.016725,-0.209,84.31,304.42574375,0.354575,0.0133825,-0.20841249999999997,-0.20841249999999997
44,84.15,302.027625,0.35724999999999996,0.004725,-0.2065,84.29375,304.61185624999996,0.354925,0.01346125,-0.2084375,-0.2084375
45,84.65,283.89437499999997,0.34375,0.005725,-0.2065,84.30125,303.9208125,0.354575,0.01330125,-0.20839999999999997,-0.20839999999999997
46,84.25,302.37012500000003,0.34625,0.024999999999999998,-0.211,84.29499999999999,303.91554375,0.3540875,0.01414125,-0.2085875,-0.2085875
47,83.9,303.24725,0.36475,0.0035,-0.206,84.26875,304.29713125,0.3547875,0.013985000000000001,-0.2085375,-0.2085375
48,84.5,265.80025,0.346,0.00505,-0.2065,84.26625,301.86826874999997,0.354625,0.013924999999999998,-0.2085375,-0.2085375
49,84.2,326.2315,0.36,0.017925,-0.20925,84.26625,301.37507500000004,0.35458749999999994,0.01421625,-0.2085875,-0.2085875
50,84.25,281.34524999999996,0.351,0.0035,-0.206,84.27125000000001,300.25964999999997,0.3542875,0.0141575,-0.208575,-0.208575
51,84.175,311.966375,0.358,0.0066,-0.20675,84.24625,302.9767,0.35525,0.01423375,-0.20859999999999998,-0.20859999999999998
52,84.4,307.702,0.3525,0.00585,-0.2065,84.26250000000002,302.76151875,0.3549125,0.014272499999999999,-0.20858749999999998,-0.20858749999999998
53,84.375,275.815875,0.35,0.005849999999999999,-0.2065,84.27375,301.03145625,0.35448749999999996,0.01339375,-0.2083625,-0.2083625
54,84.775,255.1415,0.3375,0.006875,-0.207,84.28625,298.36163124999996,0.35395,0.01001,-0.20759999999999995,-0.20759999999999995
55,84.65,275.43512499999997,0.34099999999999997,0.0121,-0.208,84.30375000000001,297.61099375,0.3534,0.010381249999999998,-0.207675,-0.207675
56,84.525,279.30475,0.348,0.0123,-0.208,84.3325,296.02193124999997,0.3525375,0.010705,-0.2077375,-0.2077375
57,83.85,318.589625,0.3685,0.007525,-0.2075,84.32875,295.27343125,0.35255000000000003,0.01075,-0.2077625,-0.2077625
58,84.5,308.180375,0.35175,0.1117,-0.23124999999999998,84.33500000000001,297.00198125,0.35265,0.01588125,-0.20894999999999997,-0.20894999999999997
59,84.1,318.393875,0.36524999999999996,0.009425,-0.20775,84.3375,295.62667500000003,0.3526625,0.01591,-0.208975,-0.208975
60,84.5,316.532875,0.351,0.003125,-0.206,84.3275,297.14989375,0.35305,0.01366125,-0.20844999999999997,-0.20844999999999997
61,84.425,303.86325,0.35025,0.005075,-0.2065,84.3475,297.55416875,0.35255,0.01368125,-0.2084625,-0.2084625
62,84.65,311.37375,0.34825,0.12422499999999999,-0.23399999999999999,84.365,297.03098125,0.35209999999999997,0.019639999999999998,-0.20982499999999998,-0.20982499999999998
63,84.175,312.97125,0.358,0.00545,-0.20675,84.35,298.00935,0.35245,0.01907625,-0.20971249999999997,-0.20971249999999997
64,84.425,272.972,0.34825,0.0058249999999999994,-0.2065,84.36375,296.55656875,0.352,0.01913125,-0.20971250000000002,-0.20971250000000002
65,84.6,264.051375,0.34299999999999997,0.004699999999999999,-0.20625,84.36125000000001,295.56441874999996,0.3519625,0.01908,-0.2097,-0.2097
66,84.275,302.96612500000003,0.355,0.00585,-0.20675,84.3625,295.59421875,0.3524,0.0181225,-0.2094875,-0.2094875
67,83.975,346.42875,0.3685,0.003125,-0.20625,84.36625000000001,297.75329374999995,0.35258749999999994,0.01810375,-0.20949999999999996,-0.20949999999999996
68,84.375,273.18825,0.34725,0.00535,-0.2065,84.36,298.12269375,0.35265,0.018118749999999996,-0.20949999999999996,-0.20949999999999996
69,84.575,306.0625,0.3515,0.014724999999999999,-0.20875,84.37875,297.11424374999996,0.352225,0.017958750000000002,-0.209475,-0.209475
70,83.875,300.627,0.3545,0.007,-0.207,84.36,298.07833125,0.3524,0.018133749999999997,-0.20952500000000002,-0.20952500000000002
71,84.625,290.490625,0.34325,0.00585,-0.20675,84.38250000000001,297.00454375,0.3516625,0.01809625,-0.20952500000000002,-0.20952500000000002
72,84.6,306.86275,0.34825,0.05365,-0.21775,84.3925,296.96258124999997,0.35145,0.02048625,-0.21008749999999998,-0.21008749999999998
73,84.675,296.045125,0.345,0.02055,-0.20975,84.4075,297.97404375,0.3512,0.02122125,-0.21025,-0.21025
74,83.85,302.997,0.36524999999999996,0.01,-0.20775,84.36125,300.36681875,0.35258749999999994,0.0213775,-0.21028750000000002,-0.21028750000000002
75,84.3,277.562,0.3545,0.00585,-0.20675,84.34375,300.4731625,0.3532624999999999,0.021065,-0.21022499999999997,-0.21022499999999997
76,84.35,334.2205,0.355,0.008074999999999999,-0.207,84.33500000000001,303.21895,0.3536125,0.020853749999999997,-0.210175,-0.210175
77,84.075,287.48275,0.35624999999999996,0.0093,-0.20725,84.34625,301.66360625000004,0.353,0.0209425,-0.21016249999999997,-0.21016249999999997
78,84.375,311.0745,0.35450000000000004,0.02225,-0.2105,84.34,301.8083125,0.3531375,0.01647,-0.20912499999999995,-0.20912499999999995
79,84.3,318.63424999999995,0.35575,0.00855,-0.2075,84.35,301.82033125,0.3526625,0.016426249999999996,-0.20911249999999998,-0.20911249999999998
80,84.65,284.8985,0.345,0.009774999999999999,-0.2075,84.3575,300.2386125,0.3523625,0.01675875,-0.2091875,-0.2091875
81,84.475,300.438,0.35025,0.011375,-0.20775,84.36,300.06735000000003,0.3523625,0.01707375,-0.20925,-0.20925
82,84.075,316.9595,0.36325,0.010575,-0.20775,84.33125,300.3466375,0.3531125,0.01139125,-0.20793749999999997,-0.20793749999999997
83,84.6,284.394375,0.34775,0.011774999999999999,-0.208,84.35249999999999,298.91779375,0.35259999999999997,0.0117075,-0.20799999999999996,-0.20799999999999996
84,84.15,320.691875,0.35824999999999996,0.0043,-0.20675,84.33875,301.3037875,0.35309999999999997,0.01163125,-0.2080125,-0.2080125
85,84.25,339.603125,0.3605,0.0361,-0.21375,84.32124999999999,305.08137500000004,0.353975,0.013201250000000001,-0.2083875,-0.2083875
86,84.025,307.328625,0.359,0.005075,-0.2065,84.30875,305.29949999999997,0.35417499999999996,0.013162499999999999,-0.20837499999999998,-0.20837499999999998
