episode,flow_id,src_x,dst_x,timestamp,throughput_mbps,rtt_ms,jitter_ms,loss_pct,weighted_reward,decision,reward_rolling_mean,src_y,dst_y,controller_weighted_reward,computed_weighted_reward
12,e12-h1-h5-g0,h1,h5,2026-05-27 12:34:28.432419+00:00,95.4,39.777,0.018,0.028,-0.064,35,-0.0726,h1,h5,-0.064,-0.031113000000000002
12,e12-h1-h4-g2,h1,h4,2026-05-27 12:35:33.637951+00:00,95.3,28.356,0.037,0.039,-0.054,36,-0.07165,h1,h4,-0.054,-0.020070000000000005
13,e13-h1-h5-g0,h1,h5,2026-05-27 12:36:38.081811+00:00,95.3,27.8615,0.034,0.042,-0.054,37,-0.07139999999999999,h1,h5,-0.054,-0.0196595
13,e13-h2-h4-g1,h2,h4,2026-05-27 12:38:14.868754+00:00,95.4,27.438000000000002,0.036,0.1,-0.057,38,-0.07095,h2,h4,-0.057,-0.020970000000000003
13,e13-h1-h4-g2,h1,h4,2026-05-27 12:38:46.637210+00:00,95.4,27.1115,0.031,0.033,-0.052,39,-0.0707,h1,h4,-0.052,-0.018623499999999998
14,e14-h1-h5-g0,h1,h5,2026-05-27 12:40:51.203572+00:00,95.3,26.844,0.034,0.076,-0.057,40,-0.07015,h1,h5,-0.057,-0.019662
14,e14-h2-h4-g1,h2,h4,2026-05-27 12:41:24.236936+00:00,95.4,26.1455,0.024,0.031,-0.05,41,-0.06720000000000001,h2,h4,-0.05,-0.017583499999999995
14,e14-h1-h4-g2,h1,h4,2026-05-27 12:41:56.278376+00:00,95.4,36.9645,0.035,0.039,-0.117,42,-0.06945,h1,h4,-0.117,-0.028664500000000006
15,e15-h2-h4-g1,h2,h4,2026-05-27 12:43:29.709768+00:00,95.4,26.088,0.023,0.037,-0.061,43,-0.06989999999999999,h2,h4,-0.061,-0.017704
15,e15-h1-h4-g2,h1,h4,2026-05-27 12:44:33.969733+00:00,95.3,26.7465,0.025,0.022,-0.056,44,-0.06715,h1,h4,-0.056,-0.0179265
15,e15-h1-h5-g0,h1,h5,2026-05-27 12:45:06.081634+00:00,95.3,28.691000000000003,0.029,0.043,-0.052,45,-0.06355,h1,h5,-0.052,-0.020509
16,e16-h1-h5-g0,h1,h5,2026-05-27 12:46:08.877768+00:00,95.3,28.1425,0.022,0.025,-0.064,46,-0.064,h1,h5,-0.064,-0.019406499999999997
16,e16-h2-h4-g1,h2,h4,2026-05-27 12:47:44.759759+00:00,95.4,27.4765,0.03,0.041,-0.051,47,-0.0637,h2,h4,-0.051,-0.0192265
16,e16-h1-h4-g2,h1,h4,2026-05-27 12:48:18.568046+00:00,95.4,26.9725,0.019,0.027,-0.062,48,-0.06365000000000001,h1,h4,-0.062,-0.018280499999999998
17,e17-h1-h4-g2,h1,h4,2026-05-27 12:50:27.535317+00:00,95.4,38.066,0.013,0.02,-0.058,49,-0.06265000000000001,h1,h4,-0.058,-0.029152000000000004
17,e17-h1-h5-g0,h1,h5,2026-05-27 12:50:59.516448+00:00,95.3,25.898,0.014,0.016,-0.053,50,-0.06255000000000001,h1,h5,-0.053,-0.016876000000000002
17,e17-h2-h4-g1,h2,h4,2026-05-27 12:51:31.876612+00:00,95.4,26.360999999999997,0.02,0.036,-0.052,51,-0.0624,h2,h4,-0.052,-0.017940999999999995
18,e18-h1-h4-g2,h1,h4,2026-05-27 12:52:34.744765+00:00,95.3,29.6755,0.027,0.031,-0.058,52,-0.0626,h1,h4,-0.058,-0.0211295
18,e18-h2-h4-g1,h2,h4,2026-05-27 12:53:39.899598+00:00,95.4,28.4885,0.03,0.044,-0.072,53,-0.062349999999999996,h2,h4,-0.072,-0.0203285
18,e18-h1-h5-g0,h1,h5,2026-05-27 12:54:45.422919+00:00,95.3,27.762,0.018,0.021,-0.056,54,-0.06,h1,h5,-0.056,-0.018898
19,e19-h2-h4-g1,h2,h4,2026-05-27 12:55:48.557825+00:00,95.4,29.108,0.033,0.046,-0.06,55,-0.059800000000000006,h2,h4,-0.06,-0.021014
19,e19-h1-h4-g2,h1,h4,2026-05-27 12:57:25.573084+00:00,95.3,29.355999999999998,0.036,0.037,-0.055,56,-0.05985,h1,h4,-0.055,-0.021007999999999995
19,e19-h1-h5-g0,h1,h5,2026-05-27 12:57:57.244606+00:00,95.4,40.082499999999996,0.029,0.044,-0.069,57,-0.0606,h1,h5,-0.069,-0.03192049999999999
20,e20-h1-h4-g2,h1,h4,2026-05-27 13:00:04.278833+00:00,95.4,36.441,0.014,0.02,-0.057,58,-0.0606,h1,h4,-0.057,-0.027529
20,e20-h2-h4-g1,h2,h4,2026-05-27 13:00:37.025978+00:00,95.4,27.7245,0.02,0.029,-0.057,59,-0.06085,h2,h4,-0.057,-0.019094499999999997
20,e20-h1-h5-g0,h1,h5,2026-05-27 13:01:08.878200+00:00,95.3,28.6235,0.036,0.039,-0.053,60,-0.06065,h1,h5,-0.053,-0.0203355
21,e21-h2-h4-g1,h2,h4,2026-05-27 13:02:43.934168+00:00,95.4,27.121000000000002,0.014,0.023,-0.059,61,-0.0611,h2,h4,-0.059,-0.018299
21,e21-h1-h5-g0,h1,h5,2026-05-27 13:03:50.114344+00:00,95.3,29.1295,0.032,0.037,-0.054,62,-0.05795,h1,h5,-0.054,-0.0207735
21,e21-h1-h4-g2,h1,h4,2026-05-27 13:04:22.689530+00:00,95.4,27.417499999999997,0.031,0.044,-0.052,63,-0.05750000000000001,h1,h4,-0.052,-0.019259499999999995
22,e22-h1-h4-g2,h1,h4,2026-05-27 13:05:25.560065+00:00,95.4,37.9325,0.017,0.026,-0.059,64,-0.05765,h1,h4,-0.059,-0.029206499999999993
22,e22-h1-h5-g0,h1,h5,2026-05-27 13:07:03.970276+00:00,95.3,29.0385,0.042,0.042,-0.073,65,-0.058699999999999995,h1,h5,-0.073,-0.0208525
22,e22-h2-h4-g1,h2,h4,2026-05-27 13:07:37.083012+00:00,95.4,27.2795,0.026,0.04,-0.066,66,-0.0588,h2,h4,-0.066,-0.018991499999999998
23,e23-h1-h5-g0,h1,h5,2026-05-27 13:09:12.476086+00:00,95.4,37.4285,0.013,0.019,-0.111,67,-0.0618,h1,h5,-0.111,-0.0284845
23,e23-h1-h4-g2,h1,h4,2026-05-27 13:09:44.281315+00:00,95.3,26.68,0.021,0.028,-0.062,68,-0.0618,h1,h4,-0.062,-0.018032
23,e23-h2-h4-g1,h2,h4,2026-05-27 13:10:49.149342+00:00,95.4,27.0945,0.023,0.035,-0.065,69,-0.06215,h2,h4,-0.065,-0.0186505
24,e24-h2-h4-g1,h2,h4,2026-05-27 13:12:55.288205+00:00,95.4,26.454,0.018,0.026,-0.053,70,-0.06215,h2,h4,-0.053,-0.01773
24,e24-h1-h5-g0,h1,h5,2026-05-27 13:13:27.629964+00:00,95.3,28.4625,0.032,0.036,-0.071,71,-0.06309999999999999,h1,h5,-0.071,-0.0200765
24,e24-h1-h4-g2,h1,h4,2026-05-27 13:14:00.984144+00:00,95.3,27.898,0.021,0.031,-0.058,72,-0.0631,h1,h4,-0.058,-0.01934
