state,action_len,reward,target,baseline,old_q,new_q,action_trials,update
"('h2', 'h11', 'util3', 'active1', 'rtt0', 'loss0')",3,-0.013,0.424,-0.146,0.139,0.224,2,51
"('h11', 'h2', 'util3', 'active1', 'rtt0', 'loss0')",3,-0.013,0.424,-0.146,0.139,0.224,2,52
"('h4', 'h9', 'util1', 'active0', 'rtt0', 'loss0')",3,-0.008,0.102,-0.04,0.044,0.062,4,53
"('h9', 'h4', 'util1', 'active0', 'rtt0', 'loss0')",3,-0.008,0.102,-0.04,0.044,0.062,4,54
"('h1', 'h12', 'util1', 'active0', 'rtt0', 'loss0')",2,-1.0,-1.0,-0.219,0.0,-0.3,3,55
"('h12', 'h1', 'util1', 'active0', 'rtt0', 'loss0')",2,-1.0,-1.0,-0.219,0.0,-0.3,3,56
"('h1', 'h12', 'util2', 'active1', 'rtt5', 'loss0')",3,0.008,0.682,-0.205,0.0,0.205,1,57
"('h12', 'h1', 'util2', 'active1', 'rtt5', 'loss0')",3,0.008,0.682,-0.205,0.0,0.205,1,58
"('h2', 'h11', 'util3', 'active0', 'rtt0', 'loss0')",2,-0.942,-0.942,-0.193,0.0,-0.283,1,59
"('h11', 'h2', 'util3', 'active0', 'rtt0', 'loss0')",2,-0.942,-0.942,-0.193,0.0,-0.283,1,60
"('h1', 'h12', 'util3', 'active1', 'rtt0', 'loss0')",3,-0.436,-0.436,-0.219,0.0,-0.131,1,61
"('h12', 'h1', 'util3', 'active1', 'rtt0', 'loss0')",3,-0.436,-0.436,-0.219,0.0,-0.131,1,62
"('h2', 'h11', 'util1', 'active0', 'rtt3', 'loss0')",3,-0.003,0.573,-0.182,0.0,0.172,1,63
"('h11', 'h2', 'util1', 'active0', 'rtt3', 'loss0')",3,-0.003,0.573,-0.182,0.0,0.172,1,64
"('h4', 'h9', 'util2', 'active0', 'rtt0', 'loss0')",3,0.007,0.141,-0.037,0.047,0.076,3,65
"('h9', 'h4', 'util2', 'active0', 'rtt0', 'loss0')",3,0.007,0.141,-0.037,0.047,0.076,3,66
"('h1', 'h12', 'util3', 'active0', 'rtt5', 'loss0')",3,0.001,0.66,-0.206,0.048,0.232,3,67
"('h12', 'h1', 'util3', 'active0', 'rtt5', 'loss0')",3,0.001,0.66,-0.206,0.048,0.232,3,68
"('h4', 'h9', 'util3', 'active0', 'rtt0', 'loss0')",3,0.002,0.119,-0.035,0.027,0.054,5,69
"('h9', 'h4', 'util3', 'active0', 'rtt0', 'loss0')",3,0.002,0.119,-0.035,0.027,0.054,5,70
"('h2', 'h11', 'util1', 'active1', 'rtt0', 'loss0')",3,-0.498,-0.498,-0.201,0.0,-0.149,2,71
"('h11', 'h2', 'util1', 'active1', 'rtt0', 'loss0')",3,-0.498,-0.498,-0.201,0.0,-0.149,2,72
"('h4', 'h9', 'util1', 'active0', 'rtt0', 'loss0')",3,-0.009,0.077,-0.033,0.062,0.066,6,73
"('h9', 'h4', 'util1', 'active0', 'rtt0', 'loss0')",3,-0.009,0.077,-0.033,0.062,0.066,6,74
"('h1', 'h12', 'util3', 'active0', 'rtt0', 'loss0')",3,-0.002,0.611,-0.194,0.149,0.288,2,75
"('h12', 'h1', 'util3', 'active0', 'rtt0', 'loss0')",3,-0.002,0.611,-0.194,0.149,0.288,2,76
"('h2', 'h11', 'util1', 'active0', 'rtt5', 'loss0')",3,0.002,0.608,-0.189,0.107,0.258,3,77
"('h11', 'h2', 'util1', 'active0', 'rtt5', 'loss0')",3,0.002,0.608,-0.189,0.107,0.258,3,78
"('h4', 'h9', 'util1', 'active0', 'rtt5', 'loss0')",3,-0.007,0.079,-0.032,0.052,0.06,2,79
"('h9', 'h4', 'util1', 'active0', 'rtt5', 'loss0')",3,-0.007,0.079,-0.032,0.052,0.06,2,80
"('h1', 'h12', 'util2', 'active0', 'rtt0', 'loss0')",2,-1.0,-1.0,-0.242,0.0,-0.3,1,81
"('h12', 'h1', 'util2', 'active0', 'rtt0', 'loss0')",2,-1.0,-1.0,-0.242,0.0,-0.3,1,82
"('h2', 'h11', 'util2', 'active1', 'rtt0', 'loss0')",3,-1.0,-1.0,-0.237,0.0,-0.3,1,83
"('h11', 'h2', 'util2', 'active1', 'rtt0', 'loss0')",3,-1.0,-1.0,-0.237,0.0,-0.3,1,84
"('h2', 'h11', 'util3', 'active1', 'rtt5', 'loss0')",3,0.005,0.727,-0.223,0.0,0.218,2,85
"('h11', 'h2', 'util3', 'active1', 'rtt5', 'loss0')",3,0.005,0.727,-0.223,0.0,0.218,2,86
"('h4', 'h9', 'util1', 'active0', 'rtt0', 'loss0')",3,-0.003,0.087,-0.03,0.066,0.072,8,87
"('h9', 'h4', 'util1', 'active0', 'rtt0', 'loss0')",3,-0.003,0.087,-0.03,0.066,0.072,8,88
"('h1', 'h12', 'util1', 'active0', 'rtt0', 'loss0')",3,0.003,0.735,-0.227,0.0,0.22,2,89
"('h12', 'h1', 'util1', 'active0', 'rtt0', 'loss0')",3,0.003,0.735,-0.227,0.0,0.22,2,90
"('h2', 'h11', 'util1', 'active1', 'rtt0', 'loss0')",3,0.005,0.683,-0.209,0.0,0.205,2,91
"('h11', 'h2', 'util1', 'active1', 'rtt0', 'loss0')",3,0.005,0.683,-0.209,0.0,0.205,2,92
"('h4', 'h9', 'util0', 'active0', 'rtt0', 'loss0')",3,0.008,0.115,-0.028,0.0,0.034,1,93
"('h9', 'h4', 'util0', 'active0', 'rtt0', 'loss0')",3,0.008,0.115,-0.028,0.0,0.034,1,94
