episode,throughput_mbps,rtt_ms,jitter_ms,loss_pct,weighted_reward,throughput_mbps_rolling_mean,rtt_ms_rolling_mean,jitter_ms_rolling_mean,loss_pct_rolling_mean,weighted_reward_rolling_mean,reward_rolling_mean
1,34.06666666666667,18.432,0.19333333333333336,0.2253333333333333,-0.022171999999999997,34.06666666666667,18.432,0.19333333333333336,0.2253333333333333,-0.022171999999999997,-0.022171999999999997
2,34.2,18.2595,0.18933333333333335,0.22066666666666668,-0.021838166666666662,34.13333333333334,18.34575,0.19133333333333336,0.22299999999999998,-0.022005083333333328,-0.022005083333333328
3,33.699999999999996,18.273666666666667,0.18866666666666668,0.2333333333333333,-0.022280999999999995,33.98888888888889,18.32172222222222,0.19044444444444444,0.22644444444444445,-0.02209705555555555,-0.02209705555555555
4,34.666666666666664,18.472166666666666,0.18099999999999997,0.17233333333333334,-0.020537500000000004,34.15833333333333,18.359333333333332,0.18808333333333332,0.21291666666666664,-0.021707166666666666,-0.021707166666666666
5,34.666666666666664,18.608999999999998,0.19600000000000004,0.245,-0.022884333333333336,34.260000000000005,18.409266666666667,0.18966666666666668,0.21933333333333332,-0.0219426,-0.0219426
6,35.43333333333334,18.970333333333333,0.19366666666666665,0.26,-0.023614333333333334,34.455555555555556,18.502777777777776,0.19033333333333335,0.22611111111111112,-0.022221222222222222,-0.022221222222222222
7,33.5,18.34716666666667,0.18666666666666668,0.14,-0.0195705,34.31904761904762,18.48054761904762,0.18980952380952382,0.2138095238095238,-0.02184254761904762,-0.02184254761904762
8,33.96666666666667,18.669,0.18566666666666665,0.18833333333333335,-0.021293666666666666,34.275,18.504104166666668,0.18929166666666666,0.210625,-0.0217739375,-0.0217739375
9,33.06666666666666,18.166666666666668,0.18966666666666665,0.25033333333333335,-0.022749333333333333,34.14074074074074,18.46661111111111,0.18933333333333333,0.21503703703703703,-0.021882314814814816,-0.021882314814814816
10,34.300000000000004,18.89016666666667,0.19099999999999998,0.29333333333333333,-0.02464216666666667,34.156666666666666,18.508966666666666,0.1895,0.22286666666666669,-0.0221583,-0.0221583
11,34.199999999999996,18.448833333333333,0.18833333333333332,0.157,-0.020115499999999998,34.16060606060606,18.5035,0.18939393939393942,0.2168787878787879,-0.021972590909090907,-0.021972590909090907
12,33.96666666666667,18.596333333333334,0.19566666666666666,0.27,-0.023691,34.144444444444446,18.511236111111113,0.18991666666666665,0.22130555555555556,-0.022115791666666666,-0.022115791666666666
13,33.0,18.627666666666666,0.19299999999999998,0.22566666666666668,-0.022483666666666666,34.05641025641026,18.520192307692305,0.19015384615384615,0.22164102564102567,-0.022144089743589744,-0.022144089743589744
14,32.93333333333333,18.285666666666668,0.19433333333333333,0.237,-0.022490999999999997,33.976190476190474,18.503440476190473,0.19045238095238096,0.22273809523809524,-0.02216886904761905,-0.02216886904761905
15,33.1,18.397333333333332,0.19333333333333336,0.168,-0.020514,33.91777777777778,18.496366666666667,0.19064444444444445,0.2190888888888889,-0.022058544444444442,-0.022058544444444442
16,33.46666666666667,18.291333333333334,0.19466666666666668,0.24666666666666667,-0.022734,33.889583333333334,18.483552083333333,0.19089583333333332,0.2208125,-0.022100760416666667,-0.022100760416666667
17,34.699999999999996,18.543333333333333,0.19099999999999998,0.26866666666666666,-0.023515333333333333,33.937254901960785,18.48706862745098,0.19090196078431373,0.22362745098039216,-0.022183970588235295,-0.022183970588235295
18,33.199999999999996,18.547666666666668,0.19133333333333336,0.18066666666666667,-0.021030333333333335,33.8962962962963,18.490435185185184,0.19092592592592592,0.22124074074074074,-0.022119879629629628,-0.022119879629629628
19,33.666666666666664,18.96783333333333,0.20099999999999998,0.26333333333333336,-0.02390316666666666,33.88421052631579,18.51556140350877,0.19145614035087719,0.22345614035087719,-0.022213736842105262,-0.022213736842105262
20,34.166666666666664,18.603166666666663,0.19433333333333333,0.23566666666666666,-0.022645166666666664,33.89833333333333,18.519941666666668,0.1916,0.2240666666666667,-0.022235308333333332,-0.022235308333333332
