state,action_len,reward,target,baseline,old_q,new_q,action_trials,update
"('h1', 'h5', 'util0', 'active0', 'rtt0', 'loss0')",3,-0.067,-0.004,-0.066,-0.032,-0.024,2,51
"('h5', 'h1', 'util0', 'active0', 'rtt0', 'loss0')",3,-0.067,-0.004,-0.066,-0.032,-0.024,2,52
"('h2', 'h4', 'util1', 'active0', 'rtt0', 'loss0')",3,-0.06,0.032,-0.07,0.0,0.009,2,53
"('h4', 'h2', 'util1', 'active0', 'rtt0', 'loss0')",3,-0.06,0.032,-0.07,0.0,0.009,2,54
"('h1', 'h5', 'util0', 'active0', 'rtt0', 'loss0')",4,-0.055,0.031,-0.065,0.011,0.017,4,55
"('h5', 'h1', 'util0', 'active0', 'rtt0', 'loss0')",4,-0.055,0.031,-0.065,0.011,0.017,4,56
"('h1', 'h4', 'util3', 'active0', 'rtt0', 'loss0')",3,-0.057,0.003,-0.058,0.0,0.001,1,57
"('h4', 'h1', 'util3', 'active0', 'rtt0', 'loss0')",3,-0.057,0.003,-0.058,0.0,0.001,1,58
"('h1', 'h4', 'util3', 'active0', 'rtt0', 'loss0')",3,-0.058,-0.001,-0.058,0.0,-0.0,2,59
"('h4', 'h1', 'util3', 'active0', 'rtt0', 'loss0')",3,-0.058,-0.001,-0.058,0.0,-0.0,2,60
"('h1', 'h4', 'util0', 'active0', 'rtt0', 'loss0')",4,-0.059,-0.002,-0.058,0.002,0.001,5,61
"('h4', 'h1', 'util0', 'active0', 'rtt0', 'loss0')",4,-0.059,-0.002,-0.058,0.002,0.001,5,62
"('h2', 'h4', 'util1', 'active0', 'rtt0', 'loss0')",3,-0.065,0.014,-0.069,0.009,0.01,3,63
"('h4', 'h2', 'util1', 'active0', 'rtt0', 'loss0')",3,-0.065,0.014,-0.069,0.009,0.01,3,64
"('h4', 'h2', 'util3', 'active0', 'rtt0', 'loss0')",3,-0.055,0.044,-0.069,0.0,0.012,1,65
"('h2', 'h4', 'util3', 'active0', 'rtt0', 'loss0')",3,-0.055,0.044,-0.069,0.0,0.012,1,66
"('h1', 'h5', 'util3', 'active0', 'rtt0', 'loss0')",4,-0.063,0.007,-0.065,0.003,0.004,5,67
"('h5', 'h1', 'util3', 'active0', 'rtt0', 'loss0')",4,-0.063,0.007,-0.065,0.003,0.004,5,68
"('h1', 'h4', 'util0', 'active0', 'rtt0', 'loss0')",4,-0.063,-0.015,-0.058,0.001,-0.003,6,69
"('h4', 'h1', 'util0', 'active0', 'rtt0', 'loss0')",4,-0.063,-0.015,-0.058,0.001,-0.003,6,70
"('h1', 'h5', 'util0', 'active0', 'rtt0', 'loss0')",3,-0.081,-0.081,-0.066,-0.024,-0.04,4,71
"('h5', 'h1', 'util0', 'active0', 'rtt0', 'loss0')",3,-0.081,-0.081,-0.066,-0.024,-0.04,4,72
"('h2', 'h4', 'util0', 'active0', 'rtt0', 'loss0')",3,-0.064,0.015,-0.068,0.015,0.015,5,73
"('h4', 'h2', 'util0', 'active0', 'rtt0', 'loss0')",3,-0.064,0.015,-0.068,0.015,0.015,5,74
"('h1', 'h4', 'util0', 'active0', 'rtt1', 'loss0')",3,-0.093,-0.093,-0.06,0.0,-0.026,1,75
"('h4', 'h1', 'util0', 'active0', 'rtt1', 'loss0')",3,-0.093,-0.093,-0.06,0.0,-0.026,1,76
"('h2', 'h4', 'util0', 'active0', 'rtt0', 'loss0')",3,-0.055,0.039,-0.067,0.0,0.011,3,77
"('h4', 'h2', 'util0', 'active0', 'rtt0', 'loss0')",3,-0.055,0.039,-0.067,0.0,0.011,3,78
"('h1', 'h5', 'util3', 'active0', 'rtt0', 'loss0')",4,-0.053,0.038,-0.065,0.003,0.013,2,79
