episode,throughput_mbps,rtt_ms,jitter_ms,loss_pct,weighted_reward,throughput_mbps_rolling_mean,rtt_ms_rolling_mean,jitter_ms_rolling_mean,loss_pct_rolling_mean,weighted_reward_rolling_mean,reward_rolling_mean
1,19.65,131.823875,0.0885,0.4675,-0.07440805521604527,19.65,131.823875,0.0885,0.4675,-0.07440805521604527,-0.07440805521604527
2,20.975,110.842,0.11375,0.0505,0.09971709082367727,20.3125,121.33293749999999,0.10112499999999999,0.259,0.012654517803816004,0.012654517803816004
3,22.9,117.865,0.08075,0.3655,0.060557550747386835,21.175,120.17695833333333,0.09433333333333334,0.2945,0.02862219545167295,0.02862219545167295
4,20.55,123.516625,0.116,0.5915,-0.13473719106250784,21.01875,121.011875,0.09975,0.36875,-0.012217651176872249,-0.012217651176872249
5,22.675,122.859125,0.087,0.528,-0.011884466657260541,21.35,121.38132499999999,0.0972,0.4006,-0.012151014272949907,-0.012151014272949907
6,19.35,129.184125,0.11825,0.52225,-0.20101794458243225,21.016666666666666,122.68179166666665,0.10070833333333333,0.42087500000000005,-0.04362883599119696,-0.04362883599119696
7,20.725,131.73512499999998,0.08775000000000001,0.41675,-0.1118643919713529,20.974999999999998,123.975125,0.09885714285714285,0.4202857142857143,-0.05337677255979067,-0.05337677255979067
8,20.85,138.965,0.11524999999999999,0.658,-0.1833600605789888,20.959375,125.84885937499999,0.10090625,0.45,-0.06962468356219043,-0.06962468356219043
9,20.375,128.83100000000002,0.1185,0.488,-0.13131605389838413,20.894444444444446,126.18020833333334,0.10286111111111111,0.45422222222222225,-0.07647928026621195,-0.07647928026621195
10,20.1,130.53924999999998,0.12225,0.7152499999999999,-0.1512356585528296,20.815,126.61611250000001,0.1048,0.480325,-0.08395491809487372,-0.08395491809487372
11,19.35,119.95525,0.08825,0.0305,-0.034748709559641405,20.681818181818183,126.01057954545455,0.10329545454545454,0.4394318181818182,-0.0794816264098526,-0.0794816264098526
12,16.775,117.8425,0.113,0.115,-0.12966032344044193,20.35625,125.32990625000001,0.10410416666666666,0.41239583333333335,-0.08366318449573505,-0.08366318449573505
13,22.9,114.974875,0.084,0.2515,0.026207851470254978,20.551923076923078,124.53336538461538,0.10255769230769231,0.4000192307692308,-0.07521156634450504,-0.07521156634450504
