state,action_len,reward,target,baseline,old_q,new_q,action_trials,update
"('h4', 'h2', 'util1', 'active1', 'rtt0', 'loss0')",3,-0.125,-0.125,-0.162,0.03,-0.004,6,50
"('h1', 'h5', 'util3', 'active1', 'rtt0', 'loss0')",3,-0.164,-0.164,-0.142,0.0,-0.036,2,51
"('h5', 'h1', 'util3', 'active1', 'rtt0', 'loss0')",3,-0.164,-0.164,-0.142,0.0,-0.036,2,52
"('h1', 'h5', 'util3', 'active0', 'rtt0', 'loss0')",4,-0.135,-0.135,-0.142,0.0,-0.03,3,53
"('h5', 'h1', 'util3', 'active0', 'rtt0', 'loss0')",4,-0.135,-0.135,-0.142,0.0,-0.03,3,54
"('h1', 'h4', 'util1', 'active0', 'rtt0', 'loss0')",3,-0.143,-0.143,-0.164,0.0,-0.032,3,55
"('h4', 'h1', 'util1', 'active0', 'rtt0', 'loss0')",3,-0.143,-0.143,-0.164,0.0,-0.032,3,56
"('h1', 'h4', 'util1', 'active0', 'rtt0', 'loss0')",4,-0.142,-0.142,-0.163,-0.033,-0.057,3,57
"('h4', 'h1', 'util1', 'active0', 'rtt0', 'loss0')",4,-0.142,-0.142,-0.163,-0.033,-0.057,3,58
"('h2', 'h4', 'util1', 'active0', 'rtt0', 'loss0')",3,-0.138,-0.138,-0.161,0.0,-0.03,2,59
"('h4', 'h2', 'util1', 'active0', 'rtt0', 'loss0')",3,-0.138,-0.138,-0.161,0.0,-0.03,2,60
"('h1', 'h4', 'util1', 'active0', 'rtt0', 'loss0')",3,-0.16,-0.16,-0.163,-0.061,-0.083,4,61
"('h4', 'h1', 'util1', 'active0', 'rtt0', 'loss0')",3,-0.16,-0.16,-0.163,-0.061,-0.083,4,62
"('h2', 'h4', 'util3', 'active0', 'rtt0', 'loss0')",3,-0.131,-0.131,-0.16,0.0,-0.029,2,63
"('h4', 'h2', 'util3', 'active0', 'rtt0', 'loss0')",3,-0.131,-0.131,-0.16,0.0,-0.029,2,64
"('h1', 'h5', 'util3', 'active1', 'rtt0', 'loss0')",3,-0.157,-0.157,-0.142,-0.036,-0.063,3,65
"('h5', 'h1', 'util3', 'active1', 'rtt0', 'loss0')",3,-0.157,-0.157,-0.142,-0.036,-0.063,3,66
"('h2', 'h4', 'util2', 'active0', 'rtt0', 'loss0')",3,-0.159,-0.159,-0.16,0.0,-0.035,2,67
"('h4', 'h2', 'util2', 'active0', 'rtt0', 'loss0')",3,-0.159,-0.159,-0.16,0.0,-0.035,2,68
"('h1', 'h5', 'util1', 'active0', 'rtt0', 'loss0')",4,-0.139,-0.139,-0.142,-0.03,-0.054,6,69
"('h5', 'h1', 'util1', 'active0', 'rtt0', 'loss0')",4,-0.139,-0.139,-0.142,-0.03,-0.054,6,70
"('h1', 'h4', 'util1', 'active0', 'rtt0', 'loss0')",3,-0.147,-0.147,-0.162,-0.032,-0.057,4,71
"('h4', 'h1', 'util1', 'active0', 'rtt0', 'loss0')",3,-0.147,-0.147,-0.162,-0.032,-0.057,4,72
"('h1', 'h4', 'util1', 'active0', 'rtt0', 'loss0')",4,-0.2,-0.2,-0.164,-0.057,-0.089,5,73
"('h4', 'h1', 'util1', 'active0', 'rtt0', 'loss0')",4,-0.2,-0.2,-0.164,-0.057,-0.089,5,74
"('h1', 'h5', 'util2', 'active0', 'rtt0', 'loss0')",3,-0.171,-0.171,-0.143,-0.038,-0.067,4,75
"('h5', 'h1', 'util2', 'active0', 'rtt0', 'loss0')",3,-0.171,-0.171,-0.143,-0.038,-0.067,4,76
"('h1', 'h5', 'util3', 'active0', 'rtt0', 'loss0')",4,-0.167,-0.167,-0.144,0.0,-0.037,4,77
"('h5', 'h1', 'util3', 'active0', 'rtt0', 'loss0')",4,-0.167,-0.167,-0.144,0.0,-0.037,4,78
"('h2', 'h4', 'util2', 'active0', 'rtt0', 'loss0')",3,-0.131,-0.131,-0.159,-0.028,-0.05,3,79
"('h4', 'h2', 'util2', 'active0', 'rtt0', 'loss0')",3,-0.131,-0.131,-0.159,-0.028,-0.05,3,80
"('h2', 'h4', 'util1', 'active0', 'rtt0', 'loss0')",3,-0.16,-0.16,-0.159,-0.038,-0.065,3,81
"('h4', 'h2', 'util1', 'active0', 'rtt0', 'loss0')",3,-0.16,-0.16,-0.159,-0.038,-0.065,3,82
