episode,throughput_mbps,rtt_ms,jitter_ms,loss_pct,weighted_reward,reward_rolling_mean
1,943.0,3383.692,38.8385,1.345,-0.09999999999999998,-0.09999999999999998
2,943.5,1633.95,41.869,0.8400000000000001,0.07740459442462866,-0.01129770278768566
3,944.0,2817.8845,41.8615,1.75,0.03831647432177493,0.005240356248801203
4,944.0,2385.30325,37.1395,0.84,0.23643616066005757,0.11738574313548705
5,944.5,2599.4890000000005,39.1445,0.655,0.19268609558833605,0.1558129101900562
6,943.5,2359.71475,40.2265,0.81,-0.12108843377943894,0.10267794082298488
7,943.5,4901.139,37.977500000000006,0.895,-0.2852985429198224,-0.0712336270369751
8,944.0,4655.8765,37.2035,0.8250000000000001,-0.14930935980189528,-0.18523211216705218
9,900.0,4240.20425,34.236000000000004,1.2,-0.30538828645306615,-0.24666539639159457
10,944.0,3315.3182500000003,38.4225,0.945,0.1292640837177121,-0.10847785417908311
11,943.0,2691.304,36.942,0.43999999999999995,0.21149377805627323,0.011789858440306408
12,900.0,2288.59425,39.316,0.505,0.004642428080669267,0.11513342995155156
13,943.5,2880.70575,37.802,0.755,0.1463946368885332,0.12084361434182522
14,943.5,2584.34875,37.2415,0.94,0.15075798716311656,0.10059835071077301
15,943.5,3726.81025,37.542,0.6799999999999999,0.08259384559342271,0.1265821565483575
16,944.0,3648.45,35.459,2.9000000000000004,0.07528034763106259,0.10287739346253395
17,944.0,2364.3430000000003,41.438,1.06,0.15955276268269722,0.10580898530239419
18,944.0,2348.14625,33.6325,1.35,0.24347610266500774,0.15943640432625586
19,943.0,3983.78575,38.6945,0.58,0.09083923814163776,0.16462270116311425
20,944.0,4541.49925,38.9135,2.04,0.014926599941728735,0.1164139802494581
21,944.0,3351.9695,37.8675,1.085,0.14631117271298588,0.08402567026545081
22,943.5,3475.555,39.5085,0.88,-0.0751737356188327,0.02868801234529399
23,942.5,3476.3235000000004,36.9105,0.615,-0.23161342200722812,-0.05349199497102497
24,942.5,4311.552,39.432,0.665,-0.21873092006746064,-0.17517269256450715
25,943.5,3437.3559999999998,36.819,0.66,0.070687272665036,-0.12655235646988425
26,943.5,3920.767,34.4295,0.855,0.06773993918722196,-0.02676790273840089
27,944.0,4805.1052500000005,30.055500000000002,2.79,0.05938898446664649,0.06593873210630148
28,944.0,6975.371999999999,19.4605,0.6,0.13477985817284982,0.08730292727557276
29,944.0,4069.255,36.325,0.97,0.17550551827531752,0.12322478697160462
30,943.0,5428.752,35.802499999999995,0.6950000000000001,-0.0727964692029956,0.07916296908172392
31,944.0,5901.896500000001,33.963,0.69,0.1163452647000417,0.07301810459078788
32,943.5,4767.537,35.345,0.935,0.032557581977495684,0.02536879249151394
33,944.5,2405.8255,37.6995,0.495,0.15883678743998897,0.10257987803917545
34,943.5,1803.9009999999998,38.5045,1.025,-0.014620155327172337,0.05892473803010411
35,943.0,4619.1675000000005,35.995000000000005,1.1400000000000001,-0.28367991281072497,-0.0464877602326361
36,944.0,2649.91625,35.3275,1.25,-0.008808003957547592,-0.1023693573651483
37,944.5,2234.53625,40.43000000000001,0.845,0.04843026996189464,-0.0813525489354593
38,943.0,2210.77625,42.8735,1.55,-0.3000636472124183,-0.08681379373602376
39,944.0,2325.88075,35.2425,1.035,0.05651838882796177,-0.06503832947418729
40,943.5,1920.2042499999998,41.8625,1.2999999999999998,-0.14763703834902187,-0.13039409891115947
41,944.0,1794.2359999999999,40.7215,1.18,-0.014808884244027383,-0.03530917792169582
42,944.0,1684.82275,39.301500000000004,1.225,-0.008620375695770753,-0.05702209942960667
43,944.5,2584.5240000000003,41.559,0.7050000000000001,0.05769513997697857,0.011421960012393477
44,944.0,1754.6732499999998,41.662,1.4500000000000002,-0.05394340753904242,-0.001622881085944869
45,944.0,1450.27,41.608,0.8049999999999999,0.020627944740820293,0.008126559059585479
46,944.0,1650.422,42.036,0.7949999999999999,-0.02061500783610864,-0.017976823544776924
47,944.0,1935.94775,40.563500000000005,0.895,-0.04435282223694689,-0.014779961777411746
48,944.0,1772.59775,40.093500000000006,0.8800000000000001,-0.017675574974006958,-0.02754780168235416
49,944.0,2140.12975,40.9675,0.63,-0.0641852891749056,-0.042071228795286485
50,945.5,1792.6625,32.141000000000005,0.55,0.14085551951555392,0.019664885122213788
