dst,duration_s,episode,jitter_ms,loss_pct,port,protocol,src,throughput_mbps,timestamp
h4,10,1,,,5002,tcp,h2,8.97,2026-05-10T20:51:02.119054Z
h5,10,1,0.157,0.6,6001,udp,h1,,2026-05-10T20:51:02.119785Z
h4,10,1,0.116,1.3,6002,udp,h2,,2026-05-10T20:51:02.120514Z
h5,10,1,,,5001,tcp,h1,5.04,2026-05-10T20:51:02.120767Z
h4,10,2,0.108,0.21,6002,udp,h2,,2026-05-10T20:51:12.283786Z
h5,10,2,0.119,0.38,6001,udp,h1,,2026-05-10T20:51:12.491692Z
h4,10,2,,,5002,tcp,h2,4.92,2026-05-10T20:51:13.101551Z
h5,10,2,,,5001,tcp,h1,5.19,2026-05-10T20:51:13.541992Z
h5,10,3,0.1,0.36,6001,udp,h1,,2026-05-10T20:51:23.716478Z
h4,10,3,0.108,0.26,6002,udp,h2,,2026-05-10T20:51:24.129781Z
h4,10,3,,,5002,tcp,h2,5.1,2026-05-10T20:51:25.072767Z
h5,10,3,,,5001,tcp,h1,5.84,2026-05-10T20:51:25.240089Z
h5,10,4,,,5001,tcp,h1,8.43,2026-05-10T20:51:37.736613Z
h5,10,4,0.115,1.1,6001,udp,h1,,2026-05-10T20:51:37.736884Z
h4,10,4,,,5002,tcp,h2,9.08,2026-05-10T20:51:38.581854Z
h4,10,4,0.114,1.2,6002,udp,h2,,2026-05-10T20:51:38.582378Z
h5,10,5,,,5001,tcp,h1,11.3,2026-05-10T20:51:52.050280Z
h4,10,5,,,5002,tcp,h2,11.4,2026-05-10T20:51:52.051156Z
h5,10,5,0.114,1.5,6001,udp,h1,,2026-05-10T20:51:52.051640Z
h4,10,5,0.113,1.4,6002,udp,h2,,2026-05-10T20:51:52.052082Z
