run_id,controller,topology,status,traffic_csv,controller_log,topology_log,traffic_log,rows,tcp_rows,udp_rows,avg_tcp_throughput_mbps,avg_udp_jitter_ms,avg_udp_loss_pct,avg_rtt_ms,error
01_dijkstra_abilene,dijkstra,abilene,failed,/home/johndoe/Desktop/sdn-rl-routing/results/experiments/20260510-180340/01_dijkstra_abilene/traffic.csv,/home/johndoe/Desktop/sdn-rl-routing/results/experiments/20260510-180340/01_dijkstra_abilene/controller.log,/home/johndoe/Desktop/sdn-rl-routing/results/experiments/20260510-180340/01_dijkstra_abilene/topology.log,/home/johndoe/Desktop/sdn-rl-routing/results/experiments/20260510-180340/01_dijkstra_abilene/traffic_runner.log,0,0,0,,,,,[Errno 13] Permission denied: '/home/johndoe/Desktop/sdn-rl-routing/scripts/run_controller.sh'
02_rlearner_abilene,rlearner,abilene,failed,/home/johndoe/Desktop/sdn-rl-routing/results/experiments/20260510-180340/02_rlearner_abilene/traffic.csv,/home/johndoe/Desktop/sdn-rl-routing/results/experiments/20260510-180340/02_rlearner_abilene/controller.log,/home/johndoe/Desktop/sdn-rl-routing/results/experiments/20260510-180340/02_rlearner_abilene/topology.log,/home/johndoe/Desktop/sdn-rl-routing/results/experiments/20260510-180340/02_rlearner_abilene/traffic_runner.log,0,0,0,,,,,[Errno 13] Permission denied: '/home/johndoe/Desktop/sdn-rl-routing/scripts/run_controller.sh'
03_roptimizer_abilene,roptimizer,abilene,failed,/home/johndoe/Desktop/sdn-rl-routing/results/experiments/20260510-180340/03_roptimizer_abilene/traffic.csv,/home/johndoe/Desktop/sdn-rl-routing/results/experiments/20260510-180340/03_roptimizer_abilene/controller.log,/home/johndoe/Desktop/sdn-rl-routing/results/experiments/20260510-180340/03_roptimizer_abilene/topology.log,/home/johndoe/Desktop/sdn-rl-routing/results/experiments/20260510-180340/03_roptimizer_abilene/traffic_runner.log,0,0,0,,,,,[Errno 13] Permission denied: '/home/johndoe/Desktop/sdn-rl-routing/scripts/run_controller.sh'
04_staged_controller_abilene,staged_controller,abilene,failed,/home/johndoe/Desktop/sdn-rl-routing/results/experiments/20260510-180340/04_staged_controller_abilene/traffic.csv,/home/johndoe/Desktop/sdn-rl-routing/results/experiments/20260510-180340/04_staged_controller_abilene/controller.log,/home/johndoe/Desktop/sdn-rl-routing/results/experiments/20260510-180340/04_staged_controller_abilene/topology.log,/home/johndoe/Desktop/sdn-rl-routing/results/experiments/20260510-180340/04_staged_controller_abilene/traffic_runner.log,0,0,0,,,,,[Errno 13] Permission denied: '/home/johndoe/Desktop/sdn-rl-routing/scripts/run_controller.sh'
